date,type,title,url,source
,INVEST,"이청 삼성D 사장 ""AI·로봇, 디스플레이 위기를 기회로 전환""",http://www.biztribune.co.kr/news/articleView.html?idxno=340962,
,INVEST,"키움 ""삼성전자, 반도체·모바일 동반 호조…10만전자 다시 보인다""",https://www.pinpointnews.co.kr/news/articleView.html?idxno=380985,
,ORDER,"키움 ""삼성전자, 반도체·모바일 동반 호조…10만전자 다시 보인다""",https://www.pinpointnews.co.kr/news/articleView.html?idxno=380985,
,INVEST,"대신증권 ""LG디스플레이 3분기 대형  OLED  TV 패널  공급 늘어, 모바일  OLED  ...",https://www.businesspost.co.kr/BP?command=article_view&num=413850,
,ORDER,"대신증권 ""LG디스플레이 3분기 대형  OLED  TV 패널  공급 늘어, 모바일  OLED  ...",https://www.businesspost.co.kr/BP?command=article_view&num=413850,
,LAUNCH,"삼성D, 글로벌 파트너십 강화…도쿄·타이베이 잇단 행보",https://www.asiatime.co.kr/article/20250926500315,
,PARTNERSHIP,"삼성D, 글로벌 파트너십 강화…도쿄·타이베이 잇단 행보",https://www.asiatime.co.kr/article/20250926500315,
,INVEST,"삼성D, 글로벌 파트너십 강화…도쿄·타이베이 잇단 행보",https://www.asiatime.co.kr/article/20250926500315,
,CERT,"삼성D, 글로벌 파트너십 강화…도쿄·타이베이 잇단 행보",https://www.asiatime.co.kr/article/20250926500315,
,LAUNCH,"S26 울트라 디스플레이, 차원이 다른 성능 보여준다",https://www.betanews.net/article/view/beta202509270005,
,INVEST,"삼성·LG디스플레이 수장 ""하반기 실적 개선"" 한목소리",http://www.ftoday.co.kr/news/articleView.html?idxno=348403,
,INVEST,"점유율 30%선도 위태한 한국 디스플레이..."" OLED 도 중국 내어줄 판""",https://www.joongang.co.kr/article/25370440,
,INVEST,"삼성·LG 디스플레이 수장  ""하반기 실적 반등 자신""",https://www.ebn.co.kr/news/articleView.html?idxno=1680337,
,LAUNCH,"이청 삼성D 대표 ""8.6G 순항...내년 3분기 양산""",http://www.thelec.kr/news/articleView.html?idxno=41520,
,INVEST,"이청 삼성D 대표 ""8.6G 순항...내년 3분기 양산""",http://www.thelec.kr/news/articleView.html?idxno=41520,
,LAUNCH,"이청 삼성디스플레이 사장 ""내년 3분기 8.6세대 IT  OLED  양산""",http://www.whitepaper.co.kr/news/articleView.html?idxno=252629,
,INVEST,"이청 삼성디스플레이 사장 ""내년 3분기 8.6세대 IT  OLED  양산""",http://www.whitepaper.co.kr/news/articleView.html?idxno=252629,
,LAUNCH,"이청 삼성디스플레이 사장 ""8.6세대 IT  OLED , 내년 2~3분기 양산""",https://www.newscj.com/news/articleView.html?idxno=3322507,
,INVEST,"이청 삼성디스플레이 사장 ""8.6세대 IT  OLED , 내년 2~3분기 양산""",https://www.newscj.com/news/articleView.html?idxno=3322507,
,LAUNCH,"정철동 LG디스플레이 사장 ""韓 미래는  OLED … 하반기 실적 개선 확대 전...",https://www.newscj.com/news/articleView.html?idxno=3322517,
,INVEST,"정철동 LG디스플레이 사장 ""韓 미래는  OLED … 하반기 실적 개선 확대 전...",https://www.newscj.com/news/articleView.html?idxno=3322517,
,LAUNCH,"정철동 LGD 사장, 연간 흑자 자신감 …""中 따돌릴 차별적 기술은  OLED """,http://www.whitepaper.co.kr/news/articleView.html?idxno=252628,
,INVEST,"정철동 LGD 사장, 연간 흑자 자신감 …""中 따돌릴 차별적 기술은  OLED """,http://www.whitepaper.co.kr/news/articleView.html?idxno=252628,
,LAUNCH,"이청 ""8.6G IT  OLED  양산 내년 3분기 예상""",https://dealsite.co.kr/articles/148952,
,INVEST,"이청 ""8.6G IT  OLED  양산 내년 3분기 예상""",https://dealsite.co.kr/articles/148952,
,LAUNCH,"정철동 ""미니 LED,  OLED  화질 따라올 수 없어""",https://dealsite.co.kr/articles/148955,
,INVEST,"정철동 ""미니 LED,  OLED  화질 따라올 수 없어""",https://dealsite.co.kr/articles/148955,
,LAUNCH,"'삼성·LG' K-디스플레이 수장들 ""하반기 실적, 긍정적""",http://www.fnnews.com/news/202509261646055946,
,INVEST,"'삼성·LG' K-디스플레이 수장들 ""하반기 실적, 긍정적""",http://www.fnnews.com/news/202509261646055946,
,LAUNCH,"이청 SDC 사장 ""8.6세대, 이르면 내년 2분기 양산""",https://www.newstopkorea.com/news/articleView.html?idxno=40061,
,INVEST,"이청 SDC 사장 ""8.6세대, 이르면 내년 2분기 양산""",https://www.newstopkorea.com/news/articleView.html?idxno=40061,
,LAUNCH,"정철동 LGD 대표 ""8.6G 아직 검토...RGB TV 여전히 부족""",http://www.thelec.kr/news/articleView.html?idxno=41517,
,INVEST,"정철동 LGD 대표 ""8.6G 아직 검토...RGB TV 여전히 부족""",http://www.thelec.kr/news/articleView.html?idxno=41517,
,LAUNCH,"[현장] 韓 IT산업 기둥 '디스플레이', 미래 청사진은",https://www.sisaweek.com/news/articleView.html?idxno=229427,
,INVEST,"[현장] 韓 IT산업 기둥 '디스플레이', 미래 청사진은",https://www.sisaweek.com/news/articleView.html?idxno=229427,
,LAUNCH,"삼성·LG 디스플레이 수장, 나란히 “하반기 실적 자신감” [종합]",https://www.etoday.co.kr/news/view/2510805,
,INVEST,"삼성·LG 디스플레이 수장, 나란히 “하반기 실적 자신감” [종합]",https://www.etoday.co.kr/news/view/2510805,
,ORDER,"삼성·LG 디스플레이 수장, 나란히 “하반기 실적 자신감” [종합]",https://www.etoday.co.kr/news/view/2510805,
,INVEST,"이청 삼성D 사장 ""AI·로봇, 디스플레이 위기를 기회로 바꿀 것""(종합)",https://www.yna.co.kr/view/AKR20250926051300003?input=1195m,
,LAUNCH,삼성·LG디스플레이 수장들 “하반기 실적 긍정적”,http://www.newstomato.com/ReadNews.aspx?no=1276417&inflow=N,
