org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
8.6세대,8,3,9,2,9,15,2,15
AI,18,25,26,7,46,21,4,18
AP시스템,8,0,9,4,7,16,2,20
AR,18,1,4,1,6,9,0,12
BOE,6,2,7,0,3,13,0,10
CLENOX,8,19,0,0,0,0,0,0
ELA,8,0,9,4,7,16,2,20
IP,5,0,2,0,2,4,0,3
KBO리그,0,0,0,0,0,0,35,0
LED,12,9,5,0,7,4,0,7
LG,1,3,1,1,2,2,35,2
LG디스플레,14,10,14,1,13,21,0,18
LG디스플레이,10,7,11,1,10,17,0,13
LTOM,4,0,4,0,1,8,0,5
LTPO,3,1,2,0,1,6,0,7
Micro-LED,12,9,3,0,8,5,1,8
Mobility,2,2,2,0,5,2,0,4
NB,4,10,0,0,0,0,0,0
OLED,36,22,31,6,33,56,4,58
Pin,10,24,0,0,0,0,0,0
SafeMate,2,2,2,0,5,2,0,4
Shot,10,24,0,0,0,0,0,0
Silicon,8,0,0,0,1,4,0,6
TGS,5,0,2,0,2,4,0,3
UI,0,2,0,0,4,0,0,0
and,6,5,4,0,6,1,0,2
on,12,0,0,0,1,6,0,9
the,6,5,4,0,6,1,0,2
to,6,5,4,0,6,1,0,2
가격으로,4,0,0,0,2,4,0,6
가장,6,2,1,0,4,5,0,5
가전,2,2,3,5,6,3,0,2
감독,0,0,0,0,0,0,10,0
같은,11,11,5,1,9,8,1,9
개발,2,1,2,10,4,3,0,3
갤럭시,2,0,0,0,3,2,0,2
것으로,28,16,16,12,26,29,1,31
게이밍,6,3,0,0,5,4,1,4
게임,16,1,3,0,6,11,0,9
경기,0,0,0,4,2,0,11,0
경기에서,0,0,0,0,0,0,25,0
고객사,12,0,0,0,1,6,0,9
고백,0,0,0,0,0,0,35,0
공급,13,1,8,13,10,15,2,21
공급망,8,4,4,1,4,3,0,4
광학,12,0,0,0,1,6,0,9
구글,0,2,0,0,2,0,0,0
구동,3,1,2,0,4,5,0,6
규모,4,0,5,2,3,8,0,10
규모로,8,6,2,0,6,4,1,6
규제,2,2,2,0,4,0,0,0
그러나,3,1,1,0,5,3,0,2
그룹,5,3,5,1,3,10,0,7
글래스,5,1,0,0,2,3,0,4
금지,5,0,0,5,3,3,0,5
기기,3,1,1,0,5,2,0,2
기능,5,4,1,0,9,2,1,2
기반,3,2,2,1,4,2,1,4
기반으로,4,0,4,0,1,8,0,5
기아,1,2,3,6,3,1,1,2
기자,3,6,3,0,3,2,1,2
기존,0,2,0,0,5,0,0,0
김경문,0,0,0,0,0,0,10,0
나라장터,4,0,0,0,2,4,0,6
내년,7,6,5,0,8,11,0,10
네이버,2,1,4,1,4,4,1,2
넷마블,10,1,3,0,4,7,0,5
노트북,4,0,0,0,2,4,0,6
높은,4,3,1,0,3,1,0,2
뉴로메카,4,0,4,0,1,8,0,5
뉴시스,5,0,0,5,3,3,0,5
다양한,4,2,2,0,3,4,2,4
단독,6,0,6,3,6,12,2,15
대비,9,8,10,2,10,15,1,13
대상으로,8,0,0,0,1,4,0,6
대신증권,6,7,3,0,6,9,0,10
대응,1,2,1,0,6,1,0,2
대전,0,0,0,0,0,0,35,0
대표,5,6,6,5,9,6,1,5
대한,5,2,4,1,4,5,1,4
대형,7,4,4,0,4,9,0,8
도원암귀,5,0,2,0,2,4,0,3
동시에,2,2,2,0,5,2,0,4
등을,4,3,2,0,5,3,0,4
등이,3,2,6,2,4,3,1,2
디바이스,4,9,0,0,0,0,0,0
디스플레,33,15,19,3,20,32,0,35
