term,cur,prev,diff,ma7,z_like,total
반도체,15,1,14,2.714,4.0,29
ar,10,0,10,1.714,3.588,14
현대모비스,8,0,8,1.143,3.314,9
공급,10,1,9,2.286,3.071,18
라온텍,6,0,6,0.857,2.67,6
모듈,6,0,6,0.857,2.67,6
광학,6,0,6,0.857,2.67,8
이규석,5,0,5,0.714,2.323,5
개시,4,0,4,0.571,1.953,4
나라장터,4,0,4,0.571,1.953,4
상생세일,4,0,4,0.571,1.953,4
영업익,4,0,4,0.571,1.953,4
참가,4,0,4,0.571,1.953,4
포유디지탈,4,0,4,0.571,1.953,4
차량용,4,0,4,0.571,1.953,5
퀄컴,4,0,4,0.714,1.781,7
고성능,4,0,4,0.857,1.632,7
메타,4,0,4,0.857,1.632,7
내년,6,0,6,2.143,1.565,17
업체와,3,0,3,0.429,1.554,3
협업,3,0,3,0.429,1.554,3
태블릿,3,0,3,0.429,1.554,4
방문,3,0,3,0.429,1.554,9
한화,4,0,4,1.0,1.5,7
애플,3,0,3,0.571,1.383,6
개선,5,1,4,1.857,1.33,13
장비,4,0,4,1.286,1.272,14
pc,3,0,3,0.714,1.239,8
양산,5,0,5,2.143,1.16,15
ai에,2,0,2,0.286,1.117,2
lgd와,2,0,2,0.286,1.117,2
ssg,2,0,2,0.286,1.117,2
vr,2,0,2,0.286,1.117,2
가상현실,2,0,2,0.286,1.117,2
가치가,2,0,2,0.286,1.117,2
국산화에,2,0,2,0.286,1.117,2
노트북,2,0,2,0.286,1.117,2
마이브이,2,0,2,0.286,1.117,2
브이랩스,2,0,2,0.286,1.117,2
사이니지,2,0,2,0.286,1.117,2
삼성과,2,0,2,0.286,1.117,2
선점할까,2,0,2,0.286,1.117,2
소비가,2,0,2,0.286,1.117,2
순위,2,0,2,0.286,1.117,2
스마트글라스,2,0,2,0.286,1.117,2
스마트글래스,2,0,2,0.286,1.117,2
쏟는,2,0,2,0.286,1.117,2
엘코스,2,0,2,0.286,1.117,2
영우디에스피,2,0,2,0.286,1.117,2
이장욱,2,0,2,0.286,1.117,2
익스트림,2,0,2,0.286,1.117,2
정우주,2,0,2,0.286,1.117,2
제로,2,0,2,0.286,1.117,2
종목,2,0,2,0.286,1.117,2
준po,2,0,2,0.286,1.117,2
증강현실,2,0,2,0.286,1.117,2
친절한,2,0,2,0.286,1.117,2
커지는,2,0,2,0.286,1.117,2
컨센서스,2,0,2,0.286,1.117,2
토요타에,2,0,2,0.286,1.117,2
폰세,2,0,2,0.286,1.117,2
기아,2,0,2,0.286,1.117,3
대신,2,0,2,0.286,1.117,3
우려,2,0,2,0.286,1.117,3
주목,2,0,2,0.286,1.117,3
빠른,2,0,2,0.286,1.117,4
증가,2,0,2,0.286,1.117,4
강화한,2,0,2,0.286,1.117,5
역량,2,0,2,0.286,1.117,5
플랫폼,2,0,2,0.286,1.117,6
