org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
-OLED,5,5,2,2,1,2,2,3,2,5,5,1
0.03ms,4,3,5,1,3,0,1,4,2,4,4,3
000m2,5,6,8,1,2,1,2,5,3,3,2,3
10년간,8,4,4,4,2,3,1,3,2,5,4,1
11만5000원으로,4,2,2,3,1,10,2,2,3,3,1,2
13개,1,0,1,1,0,2,6,2,0,1,0,0
152번,1,2,1,2,2,1,0,2,2,1,1,0
1등급,6,6,4,2,2,1,2,6,1,1,0,8
1분기부터,6,5,5,1,2,1,0,3,3,5,7,1
1억3,3,2,2,6,1,1,2,2,2,3,1,0
1위는,0,0,0,0,1,0,0,0,0,1,0,0
1위를,10,5,5,21,2,3,6,6,5,6,2,0
1조8000억,2,3,3,4,0,2,0,5,1,2,3,3
1조8000억원,4,1,3,3,2,3,0,3,1,2,4,3
1차전서,2,2,0,1,2,0,1,1,1,1,0,1
1차전에서,2,2,0,1,2,0,1,1,1,1,0,1
200만,5,3,4,3,7,1,2,4,2,3,3,3
202개와,8,4,4,14,2,2,4,4,4,4,2,0
2030년에는,9,4,7,2,5,1,1,2,7,3,2,1
24GB,5,6,4,0,3,1,1,3,2,2,2,7
2560x1440,4,3,5,1,3,0,1,4,2,4,4,3
2o,2,1,2,0,1,0,0,1,1,1,2,0
2세에,3,0,3,2,1,1,3,0,4,1,2,0
2인,3,3,2,0,1,0,0,3,0,1,0,3
2차전지,6,7,2,3,2,0,1,5,2,6,2,1
2척,1,1,0,0,0,0,1,0,0,2,1,0
2척을,1,1,0,0,0,0,1,0,0,2,1,0
300은,3,3,6,2,3,0,0,2,3,1,1,1
3열,6,4,4,2,5,0,1,6,1,5,4,2
455QA,9,7,4,0,3,0,0,5,2,5,1,4
455QA는,8,5,3,0,3,0,0,3,3,5,1,3
479만202개와,3,2,2,6,1,1,2,2,2,3,1,0
48GB,5,6,4,0,3,1,1,3,2,2,2,7
4K,8,6,6,1,5,0,1,5,4,4,5,7
4강에,2,2,0,1,2,0,1,1,1,1,0,1
5000D,5,6,4,0,3,1,1,3,2,2,2,7
500니트,1,1,0,0,1,0,0,0,0,2,0,0
50만원으로,4,2,2,3,1,10,2,2,3,3,1,2
5는,6,4,4,2,5,0,1,6,1,5,4,2
8.6G,6,5,1,0,2,2,0,3,1,9,1,0
8.6th,2,1,3,0,1,0,0,3,2,1,1,0
8.6세대,24,18,6,6,11,7,3,17,9,32,7,3
8세대급,10,8,3,2,4,6,0,9,2,18,4,0
AI와,3,5,3,1,3,2,2,6,0,0,1,1
AMD,2,1,2,0,1,0,0,1,1,1,2,0
AOI,6,7,2,3,2,0,1,5,2,6,2,1
APEC,2,2,3,4,3,4,2,6,4,1,1,2
AP시스템,22,16,5,7,6,13,2,15,5,32,5,2
AP시스템은,18,13,3,5,4,9,2,9,4,23,2,2
AP시스템의,5,4,1,1,2,3,0,4,1,9,2,0
AP시스템이,10,7,3,5,2,8,2,7,2,14,2,1
AR+AI,6,5,6,4,2,4,1,5,2,3,2,2
ARGB,5,6,4,0,3,1,1,3,2,2,2,7
AR스마트글래스,6,5,6,4,2,4,1,5,2,3,2,2
AR스마트글래스가,6,5,6,4,2,4,1,5,2,3,2,2
AR스마트글래스의,6,5,6,4,2,4,1,5,2,3,2,2
ASUS,9,9,9,1,6,1,2,7,4,6,6,10
Alt,6,5,4,1,4,0,1,4,3,3,3,7
Aura,4,3,5,1,3,0,1,4,2,4,4,3
B12,6,5,3,1,4,0,0,2,1,7,2,0
B16,6,4,2,3,4,1,2,4,4,8,2,1
B2B,5,6,8,1,2,1,2,5,3,3,2,3
BMW,12,10,10,2,4,2,0,6,6,10,14,2
BOE,24,20,11,9,13,1,4,14,11,26,8,2
BOE가,9,8,3,4,3,2,3,3,4,9,6,1
BOE는,4,3,1,2,2,0,1,0,2,4,1,0
BOE를,4,3,1,2,2,0,1,0,2,4,1,0
BOE의,9,8,3,4,3,2,3,3,4,9,6,1
BTS,2,1,2,3,0,3,0,3,0,2,0,0
BYD,11,16,8,6,7,2,2,9,4,13,2,6
BenQ,6,5,4,1,4,0,1,4,3,3,3,7
B조,2,2,0,1,2,0,1,1,1,1,0,1
CCC,6,10,6,4,6,1,1,6,3,8,1,5
CES,6,5,2,1,3,1,1,5,2,6,2,1
CJ,1,1,1,2,0,1,2,2,0,0,1,0
CJ그룹은,6,4,4,2,5,0,1,6,1,5,4,2
CJ그룹의,1,1,1,2,0,1,2,2,0,0,1,0
CLENOX는,4,2,7,1,3,0,1,2,2,1,0,0
CORE,6,7,2,3,2,0,1,5,2,6,2,1
CSOT,12,9,3,3,6,3,2,7,5,17,3,1
Chinese,2,1,3,0,1,0,0,3,2,1,1,0
DCI-P3,6,5,4,1,4,0,1,4,3,3,3,7
DDIC,5,6,3,2,4,3,2,6,1,4,1,1
