org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
-OLED,2,1,7,4,2,4,4,4,5,3
...서비스업,0,0,1,2,1,1,1,2,1,1
0.03ms,4,8,4,3,1,2,3,0,2,3
000m2,5,1,4,3,4,1,6,3,5,7
0으로,0,0,0,30,5,0,0,0,5,5
1001배,3,5,2,1,2,2,3,4,5,7
100배줌,1,2,3,3,0,1,1,4,6,5
101m2형,1,0,4,3,0,0,3,1,3,2
1060원에,1,0,2,1,0,0,0,2,4,3
1079가구,1,0,4,3,0,0,3,1,3,2
10년간,4,0,5,4,1,6,5,1,7,3
10단계,2,3,0,3,3,2,2,3,4,4
10월1일,0,0,0,1,4,0,2,0,1,1
122억,1,2,2,2,3,1,2,4,5,2
13개,1,0,1,3,1,0,3,0,5,2
1541억원,4,1,4,2,4,4,4,7,6,2
154m2형,1,0,4,3,0,0,3,1,3,2
190억원을,4,0,3,4,2,3,4,2,5,5
1개월,4,1,4,2,4,4,4,7,6,2
1년만에,4,1,4,2,4,4,4,7,6,2
1로,1,0,4,3,0,0,3,1,3,2
1분기부터,6,2,6,3,0,3,2,4,2,5
1사,0,0,0,2,8,1,3,1,1,1
1사에서,0,0,0,1,4,0,2,0,1,1
1순위,1,0,4,3,0,0,3,1,3,2
200만,2,7,3,4,1,4,4,3,4,4
2025년09월30일,0,0,0,10,6,0,2,0,1,1
2030년에는,5,1,5,4,0,2,6,4,5,5
21시31분,0,0,0,6,6,0,2,0,0,0
21시32분,0,0,0,4,0,0,0,0,1,1
2560x1440,4,8,4,3,1,2,3,0,2,3
2o,1,1,1,1,0,1,1,0,0,0
2대,4,0,3,2,2,1,4,4,2,2
2루에서,0,0,0,1,4,0,2,0,1,1
2사,0,0,0,1,4,0,2,0,1,1
2세,1,0,2,1,0,0,0,2,4,3
2순위,1,0,4,3,0,0,3,1,3,2
2차전지,12,2,15,8,7,11,14,9,14,8
2타점,0,0,0,1,4,1,1,1,0,0
300은,2,1,1,1,0,1,3,1,2,4
30대,1,1,0,1,2,2,1,0,5,8
3D,2,8,1,3,2,4,3,2,6,5
3무,0,0,0,5,7,0,3,1,2,2
3분기에,3,0,6,4,4,5,7,4,8,7
3사,7,4,7,6,7,4,7,6,8,8
3시간,7,4,7,6,7,4,7,6,8,8
3안타에,0,0,0,1,4,0,2,0,1,1
3열,5,4,5,5,6,5,6,3,5,4
3이닝,0,0,0,1,4,1,1,1,0,0
3탈삼진,0,0,0,1,4,1,1,1,0,0
40대,1,1,0,1,2,2,1,0,5,8
455QA,8,2,4,3,2,2,2,2,3,4
455QA는,7,1,3,3,2,3,2,3,3,3
4K,4,9,4,4,1,3,4,2,2,3
4무,0,0,0,4,3,0,1,1,1,1
4회,0,0,0,1,4,1,1,1,0,0
4회초,0,0,0,1,4,0,2,0,1,1
500니트,1,0,3,1,0,0,1,0,1,0
5는,5,4,5,5,6,5,6,3,5,4
5대,0,0,0,30,5,0,0,0,5,5
647억,1,2,2,2,3,1,2,4,5,2
65조,4,1,4,2,4,4,4,7,6,2
67패,0,0,0,4,3,0,1,1,1,1
6개월,1,0,2,1,0,0,0,2,4,3
6대0,0,0,0,6,6,0,2,0,0,0
6무,0,0,0,4,3,0,1,1,1,1
6시,0,0,0,4,3,0,1,1,1,1
6시30분,0,0,1,2,1,1,1,2,1,1
74승,0,0,0,4,3,0,1,1,1,1
8.6G,8,0,8,3,2,4,5,3,3,2
8.6세대,17,0,22,9,7,13,12,13,11,6
82년생,0,0,0,4,0,0,0,0,1,1
84m2형,1,0,4,3,0,0,3,1,3,2
8세대급,14,0,18,4,5,4,9,10,7,6
936가구,1,0,4,3,0,0,3,1,3,2
9회초,0,0,0,30,5,0,0,0,5,5
AI생태계,5,1,2,2,6,2,4,3,4,3
AI와,2,3,0,3,3,2,2,3,4,4
AMD,11,5,10,5,5,9,9,8,11,9
AOI,3,0,6,4,3,5,7,2,6,2
APEC,21,2,16,14,22,13,17,19,29,41
AP시스템,21,0,26,7,6,7,13,13,11,8
AP시스템은,15,0,16,6,3,7,9,6,7,4
AP시스템의,7,0,9,2,2,2,4,5,3,2
AP시스템이,7,0,9,2,3,2,5,5,4,4
ASUS,4,8,4,3,1,2,3,0,2,3
ASV,1,2,1,1,5,3,5,2,3,2
AX,10,4,13,10,11,9,14,10,16,15
Alt,3,8,3,3,1,2,3,2,2,3
Aura,4,8,4,3,1,2,3,0,2,3
A주,4,1,5,4,2,5,4,5,4,3
A타입,1,0,4,3,0,0,3,1,3,2
B12,6,0,8,3,0,4,3,3,5,3
B2B,5,1,4,3,4,1,6,3,5,7
BK21,1,0,0,1,2,0,4,3,2,2
BMW,12,4,12,6,0,6,4,8,4,10
BNB,3,5,2,1,2,2,3,4,5,7
BOE,12,0,17,10,6,15,12,12,14,8
BOE가,2,1,7,4,2,4,4,4,5,3
BOE는,3,0,4,3,2,3,5,4,5,3
BOE의,5,1,11,7,4,7,9,8,10,6
BYD,12,5,11,7,11,10,8,14,12,12
BenQ,3,8,3,3,1,2,3,2,2,3
CCC,6,5,7,3,6,3,5,7,8,9
CEO,12,5,9,8,13,6,11,9,12,11
CJ그룹은,5,4,5,5,6,5,6,3,5,4
CLENOX는,3,1,0,0,0,0,3,0,2,5
CPU,1,2,0,0,1,2,1,1,3,3
CSOT,11,0,13,7,6,12,9,8,7,4
Copyright,5,0,4,3,5,6,8,4,5,7
DB그룹,2,8,1,3,2,4,3,2,6,5
DCI-P3,3,8,3,3,1,2,3,2,2,3
DDIC,6,2,4,4,5,4,7,5,7,4
DEX,3,5,2,1,2,2,3,4,5,7
DEX의,3,5,2,1,2,2,3,4,5,7
DIVE,4,15,4,7,3,8,7,5,10,9
DP,3,8,3,3,1,2,3,2,2,3
DS,4,2,5,4,4,3,7,7,7,4
DX,4,2,5,4,4,3,7,7,7,4
E-ONG,4,1,5,4,2,5,4,5,4,3
E-ONG의,4,1,5,4,2,5,4,5,4,3
EG110,4,10,8,4,5,2,3,2,2,2
EGM,4,10,8,4,5,2,3,2,2,2
