org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
-OLED,1,3,5,1,0,5,2,0,1,1,1,2,5,5
0.03ms,4,3,7,3,0,1,3,1,2,1,4,4,1,4
100개,3,7,1,2,0,13,6,20,4,4,1,2,5,7
10개사의,1,2,2,0,2,5,2,0,1,4,0,2,4,2
10년간,1,4,2,0,2,2,2,0,2,2,2,0,3,8
12일까지,1,2,2,1,1,1,2,0,2,1,1,3,1,1
14.6인치,1,6,2,4,2,4,2,0,1,2,1,1,3,6
141.0대,0,1,0,0,0,1,1,0,1,0,0,1,1,2
17강,3,2,3,3,3,5,1,0,1,2,4,3,2,2
1만6천,2,3,3,2,1,7,3,0,2,4,1,2,8,7
1억,1,8,1,1,4,1,1,0,2,2,3,2,1,2
1위를,1,2,2,0,2,5,2,0,1,4,0,2,4,2
1을,0,1,0,0,0,1,1,0,1,0,0,1,1,2
1일부터,2,0,0,0,2,1,1,0,0,1,1,1,1,1
1조5493억원,0,2,1,0,1,4,3,0,2,3,1,0,4,3
200만,1,3,6,3,3,3,2,0,3,1,2,4,3,3
2021년부터,0,1,0,0,2,1,1,0,0,0,2,0,0,0
2027년까지,2,3,0,0,0,6,3,10,2,2,0,0,2,2
2030년까지,7,14,1,1,2,21,12,40,9,10,7,1,12,13
2030년에는,1,3,1,2,1,2,5,0,2,1,4,1,4,5
20주년을,3,2,3,3,3,5,1,0,1,2,4,3,2,2
20회에서,0,0,2,2,2,1,1,0,1,1,1,0,0,1
2560x1440,4,3,7,3,0,1,3,1,2,1,4,4,1,4
28일부터,1,4,2,8,2,4,3,0,2,4,3,2,2,4
2o,0,1,2,1,0,0,1,0,0,0,0,0,0,1
2개,2,2,0,3,2,1,3,1,0,1,1,1,0,0
2개의,5,7,2,5,3,8,3,1,2,3,2,2,7,7
2대,3,4,0,0,2,2,2,1,2,2,0,0,5,4
2만,4,3,3,2,3,8,4,0,2,5,2,3,9,8
2위로,1,2,2,0,2,5,2,0,1,4,0,2,4,2
300m,1,8,1,1,4,1,1,0,2,2,3,2,1,2
300은,1,1,0,3,0,1,4,0,0,0,6,0,1,2
30일까지,2,0,0,0,2,1,1,0,0,1,1,1,1,1
3분기도,1,2,2,0,2,5,2,0,1,4,0,2,4,2
3열,1,6,6,6,2,6,3,1,3,2,1,5,3,6
3위를,0,2,1,0,1,4,3,0,2,3,1,0,4,3
4000명을,0,1,0,0,2,1,1,0,0,0,2,0,0,0
4K,2,5,9,7,1,3,3,0,1,0,2,4,1,5
4개,2,2,1,0,2,2,2,0,0,3,3,4,2,1
4년만에,1,7,9,6,0,12,6,0,6,2,4,2,10,12
4대,1,2,2,1,1,1,2,0,2,1,1,3,1,1
500개,6,11,1,2,1,17,9,30,7,6,3,2,9,9
500니트,0,1,2,0,0,0,0,0,1,0,0,1,0,2
52주,5,4,3,1,3,2,4,2,2,4,3,1,5,5
5는,1,6,6,6,2,6,3,1,3,2,1,5,3,6
6개,1,3,1,0,1,5,3,10,2,2,3,1,3,5
740i,1,8,1,1,4,1,1,0,2,2,3,2,1,2
750e,1,8,1,1,4,1,1,0,2,2,3,2,1,2
7시리즈의,1,8,1,1,4,1,1,0,2,2,3,2,1,2
8.6G,1,3,2,2,1,5,2,0,3,2,0,1,4,7
8.6세대,0,2,3,2,0,3,4,0,1,2,1,1,4,8
8K,1,8,1,1,4,1,1,0,2,2,3,2,1,2
8세대급,1,3,3,2,0,4,5,1,2,3,0,0,4,6
9이닝스,1,1,1,2,2,0,1,0,1,1,1,2,0,1
9일까지,1,2,2,1,1,1,2,0,2,1,1,3,1,1
9주년,1,1,1,2,2,0,1,0,1,1,1,2,0,1
9주년을,1,1,1,2,2,0,1,0,1,1,1,2,0,1
ABL생명,0,2,1,0,1,4,3,0,2,3,1,0,4,3
AG,1,9,2,2,2,1,3,1,3,2,3,1,1,3
AI가,3,2,1,1,0,3,3,2,1,2,0,0,2,1
AI를,11,26,2,3,3,43,24,80,16,18,10,4,20,23
AI연구원과,2,1,0,1,0,3,2,1,1,0,0,1,2,1
AI팩토리,2,7,0,1,0,11,6,20,3,6,2,1,4,5
AI팩토리를,1,4,0,1,0,6,3,10,2,4,2,0,3,4
ALPHA,1,4,2,8,2,4,3,0,2,4,3,2,2,4
AMD,0,1,2,1,0,0,1,0,0,0,0,0,0,1
AMOLED,3,4,1,3,0,2,2,0,1,2,1,1,1,4
APEC,3,7,4,10,5,12,13,3,3,8,4,10,13,10
AP시스템,1,3,3,2,0,4,5,1,2,3,0,0,4,6
AP시스템은,1,3,2,2,1,5,2,0,3,2,0,1,4,7
AP시스템이,1,3,3,2,0,4,5,1,2,3,0,0,4,6
ASUS,6,7,14,9,1,4,5,1,3,1,6,8,2,8
AX,3,2,1,1,0,3,3,2,1,2,0,0,2,1
Alt,2,4,7,6,1,3,2,0,1,0,2,4,1,4
Aura,4,3,7,3,0,1,3,1,2,1,4,4,1,4
B12,0,3,3,2,1,3,1,0,3,2,1,2,3,9
BMW,2,17,3,2,6,2,4,1,4,5,8,3,2,5
BOE,0,3,3,2,1,3,1,0,3,2,1,2,3,9
BOE가,1,3,5,1,0,5,2,0,1,1,1,2,5,5
BOE의,1,3,5,1,0,5,2,0,1,1,1,2,5,5
BUY,2,3,3,2,1,7,3,0,2,4,1,2,8,7
BYD,7,12,7,10,5,14,9,3,3,13,8,7,16,13
BenQ,2,4,7,6,1,3,2,0,1,0,2,4,1,4
Berlin,1,2,1,2,0,3,1,0,0,0,0,2,2,0
CCC,5,7,5,8,4,8,3,1,2,3,4,3,7,8
CEO,3,3,1,2,2,7,8,3,2,3,1,3,6,5
