org,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AMD,,,2.77 (2%),0.75 (0%),1.44 (1%),1.39 (1%),,1.47 (1%),,,0.81 (1%),2.20 (1%),,1.53 (1%)
ASUS,,,,1.50 (1%),3.60 (2%),,0.75 (0%),1.47 (1%),1.50 (1%),,1.63 (2%),1.47 (1%),,2.29 (2%)
BOE,5.76 (3%),7.77 (3%),,7.49 (3%),4.32 (3%),8.32 (4%),12.73 (4%),,,,,9.54 (4%),7.06 (2%),
CES,17.28 (8%),6.36 (2%),,4.49 (2%),,3.47 (2%),5.99 (2%),,2.99 (2%),,,3.67 (2%),4.94 (2%),
CSOT,5.04 (2%),9.18 (3%),,3.74 (1%),3.60 (2%),9.01 (5%),12.73 (4%),,,,,5.87 (2%),9.18 (3%),
Harman,2.16 (1%),3.53 (1%),2.77 (2%),2.99 (1%),,2.08 (1%),,,2.25 (2%),,,2.20 (1%),3.53 (1%),
LG디스플레이,41.75 (19%),25.42 (9%),,23.96 (9%),,20.79 (10%),49.42 (16%),,,,,39.63 (17%),32.49 (11%),13.75 (11%)
LG전자,,16.95 (6%),,,,12.48 (6%),8.98 (3%),19.08 (14%),9.73 (7%),,,11.74 (5%),16.95 (6%),12.99 (11%)
LG화학,,4.24 (2%),,,5.76 (4%),2.77 (1%),2.25 (1%),4.40 (3%),,2.20 (2%),2.44 (3%),,4.94 (2%),
SID,17.28 (8%),6.36 (2%),,4.49 (2%),,3.47 (2%),5.99 (2%),,2.99 (2%),,,3.67 (2%),4.94 (2%),
SK하이닉스,,14.12 (5%),5.55 (4%),,,8.32 (4%),6.74 (2%),8.07 (6%),6.74 (5%),,,,12.71 (4%),6.88 (6%)
TCL,3.60 (2%),,,2.99 (1%),,,2.99 (1%),2.20 (2%),,2.20 (2%),1.63 (2%),3.67 (2%),2.12 (1%),
TSMC,,0.71 (0%),2.77 (2%),,1.44 (1%),,,1.47 (1%),,0.73 (1%),0.81 (1%),1.47 (1%),,1.53 (1%)
Tianma,,2.12 (1%),,1.50 (1%),,2.08 (1%),2.25 (1%),,,0.73 (1%),,2.94 (1%),4.24 (1%),0.76 (1%)
Visionox,2.88 (1%),7.06 (3%),2.77 (2%),8.98 (3%),,4.85 (2%),8.98 (3%),,,,,6.61 (3%),11.30 (4%),
