org,0,1,2,3,4,5,6,7,8,9,10,11
AMD,,0.73 (0%),,,,,,,,,,0.79 (0%)
ASUS,,1.46 (0%),0.75 (1%),1.69 (1%),2.47 (2%),1.49 (1%),0.75 (0%),,0.78 (0%),,,1.58 (1%)
BOE,11.93 (4%),16.83 (5%),,5.06 (4%),3.30 (2%),7.46 (4%),3.73 (2%),8.20 (3%),,,,15.82 (5%)
CES,2.98 (1%),0.73 (0%),1.49 (1%),,0.82 (1%),0.75 (0%),1.49 (1%),2.24 (1%),,0.97 (1%),,
CSOT,8.20 (3%),10.98 (3%),,4.21 (3%),3.30 (2%),2.98 (1%),2.98 (1%),5.97 (2%),,,,6.33 (2%)
LG디스플레이,44.75 (14%),43.91 (14%),,17.70 (12%),14.85 (9%),21.63 (10%),13.42 (6%),26.85 (11%),,,,37.97 (12%)
LG전자,12.68 (4%),13.17 (4%),,15.17 (11%),,8.95 (4%),13.42 (6%),,17.83 (9%),6.80 (6%),,10.28 (3%)
LG화학,0.75 (0%),1.46 (0%),0.75 (1%),1.69 (1%),,,4.47 (2%),,3.88 (2%),,1.80 (1%),1.58 (1%)
SID,2.98 (1%),0.73 (0%),1.49 (1%),,0.82 (1%),0.75 (0%),1.49 (1%),2.24 (1%),,0.97 (1%),,
SK하이닉스,6.71 (2%),4.39 (1%),4.47 (3%),,,,10.44 (5%),3.73 (1%),5.43 (3%),3.88 (4%),,3.16 (1%)
Semiconductor,0.75 (0%),,2.24 (2%),,1.65 (1%),0.75 (0%),1.49 (1%),,1.55 (1%),0.97 (1%),0.90 (1%),
TCL,2.24 (1%),4.39 (1%),,0.84 (1%),,1.49 (1%),,2.24 (1%),,0.97 (1%),3.61 (3%),3.96 (1%)
Tianma,1.49 (0%),4.39 (1%),0.75 (1%),,0.82 (1%),,0.75 (0%),0.75 (0%),3.10 (2%),,,2.37 (1%)
Visionox,3.73 (1%),8.78 (3%),,0.84 (1%),4.12 (3%),,2.24 (1%),2.24 (1%),5.43 (3%),,,4.75 (2%)
구글,12.68 (4%),,7.46 (5%),,7.42 (5%),8.20 (4%),8.95 (4%),,9.30 (5%),12.62 (12%),9.02 (7%),
기아,7.46 (2%),3.66 (1%),5.97 (4%),3.37 (2%),,5.97 (3%),7.46 (3%),3.73 (1%),,6.80 (6%),,
네이버,9.70 (3%),7.32 (2%),5.22 (4%),,,,7.46 (3%),3.73 (1%),6.20 (3%),5.82 (5%),,3.96 (1%)
마이크로소프트,2.24 (1%),,1.49 (1%),,4.12 (3%),,3.73 (2%),1.49 (1%),,,0.90 (1%),
메타,,,2.24 (2%),2.53 (2%),,2.98 (1%),5.22 (2%),,7.75 (4%),1.94 (2%),3.61 (3%),3.96 (1%)
벤츠,4.26 (1%),1.67 (0%),4.26 (3%),4.82 (3%),,5.97 (2%),,1.70 (1%),,3.33 (3%),3.09 (2%),
비보,5.22 (2%),10.25 (3%),,,4.12 (3%),7.46 (4%),,4.47 (2%),3.10 (2%),,5.41 (4%),22.94 (7%)
삼성디스플레이,41.76 (13%),35.13 (11%),11.93 (9%),,15.67 (10%),21.63 (10%),21.63 (10%),65.63 (26%),,,,16.61 (5%)
삼성전자,58.92 (18%),54.89 (17%),,,,45.49 (22%),38.78 (18%),55.19 (22%),32.57 (17%),,29.76 (23%),49.05 (16%)
샤오미,5.22 (2%),10.98 (3%),,,4.12 (3%),7.46 (4%),,4.47 (2%),3.10 (2%),,5.41 (4%),22.94 (7%)
선익시스템,3.73 (1%),2.93 (1%),0.75 (1%),0.84 (1%),,0.75 (0%),,2.24 (1%),0.78 (0%),,,1.58 (1%)
소니,2.24 (1%),,3.73 (3%),,5.77 (4%),0.75 (0%),3.73 (2%),1.49 (1%),,0.97 (1%),1.80 (1%),
아마존,0.82 (0%),1.60 (0%),0.82 (1%),1.84 (1%),,,4.89 (2%),,4.24 (2%),,1.97 (1%),1.73 (1%)
아이씨디,12.35 (3%),8.39 (2%),1.90 (1%),,3.15 (2%),,3.80 (1%),5.70 (2%),2.96 (1%),,,5.04 (1%)
애플,63.26 (8%),77.18 (11%),,48.29 (15%),47.26 (13%),61.55 (13%),,,55.10 (12%),,43.42 (14%),125.14 (17%)
오포,1.49 (0%),2.93 (1%),,,0.82 (1%),0.75 (0%),,1.49 (1%),0.78 (0%),,,6.33 (2%)
인텔,0.90 (0%),1.78 (0%),0.90 (1%),2.04 (1%),,,5.43 (2%),,4.70 (2%),,2.19 (1%),1.92 (1%)
카카오,5.97 (2%),2.93 (1%),3.73 (3%),,1.65 (1%),2.24 (1%),5.97 (3%),2.98 (1%),,3.88 (4%),,
퀄컴,,,2.24 (2%),4.21 (3%),,2.98 (1%),5.22 (2%),,9.30 (5%),2.91 (3%),4.51 (3%),3.96 (1%)
폭스바겐,2.98 (1%),,3.73 (3%),,7.42 (5%),,1.49 (1%),1.49 (1%),3.88 (2%),0.97 (1%),,1.58 (1%)
하이센스,2.24 (1%),4.39 (1%),,0.84 (1%),,1.49 (1%),,2.24 (1%),,0.97 (1%),3.61 (3%),3.96 (1%)
한화,,,1.46 (1%),,,4.38 (1%),1.46 (0%),,3.04 (1%),,,1.55 (0%)
한화시스템,,0.73 (0%),0.75 (1%),0.84 (1%),,,1.49 (1%),,3.10 (2%),,,
현대모비스,5.97 (2%),2.93 (1%),3.73 (3%),,1.65 (1%),2.24 (1%),5.97 (3%),2.98 (1%),,3.88 (4%),,
현대자동차,,0.80 (0%),0.82 (1%),0.92 (1%),,,1.63 (1%),,3.39 (2%),,,
현대차,14.05 (3%),10.34 (2%),9.37 (4%),,9.06 (4%),10.54 (3%),12.88 (4%),8.20 (2%),,12.19 (7%),,
화웨이,3.73 (1%),5.85 (2%),,,1.65 (1%),2.98 (1%),,2.98 (1%),1.55 (1%),,0.90 (1%),12.66 (4%)
