org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,6,0.7885,0.0024,0.6099,0.7885
AMD,13,0.7309,0.0034,0.5654,0.7309
AMD,5,0.7178,0.0030,0.5553,0.7178
ASUS,5,2.8714,0.0120,0.6290,2.8714
ASUS,4,2.1535,0.0109,0.4718,2.1535
ASUS,7,1.6420,0.0094,0.3597,1.6420
ASUS,6,1.5769,0.0047,0.3455,1.5769
ASUS,2,0.7585,0.0031,0.1662,0.7585
ASUS,0,0.7444,0.0051,0.1631,0.7444
ASUS,3,0.7444,0.0046,0.1631,0.7444
ASUS,12,0.7444,0.0027,0.1631,0.7444
ASUS,13,0.7309,0.0034,0.1601,0.7309
BMW,2,4.5512,0.0184,0.7798,4.5512
BMW,10,2.1535,0.0054,0.3690,2.1535
BMW,1,1.5171,0.0057,0.2599,1.5171
BMW,4,1.4357,0.0072,0.2460,1.4357
BMW,11,1.4105,0.0058,0.2417,1.4105
BMW,7,0.8210,0.0047,0.1407,0.8210
BMW,9,0.7585,0.0027,0.1300,0.7585
BMW,3,0.7444,0.0046,0.1276,0.7444
BMW,12,0.7444,0.0027,0.1276,0.7444
BOE,6,15.7691,0.0473,0.6172,15.7691
BOE,5,10.0498,0.0419,0.3933,10.0498
BOE,10,7.8962,0.0199,0.3091,7.8962
BOE,12,7.4444,0.0265,0.2914,7.4444
BOE,8,7.3888,0.0381,0.2892,7.3888
BOE,9,6.0682,0.0217,0.2375,6.0682
BOE,1,5.3097,0.0201,0.2078,5.3097
BOE,13,5.1162,0.0237,0.2002,5.1162
BOE,4,4.3070,0.0217,0.1686,4.3070
BOE,11,2.8211,0.0117,0.1104,2.8211
BOE,2,2.2756,0.0092,0.0891,2.2756
BOE,0,2.2333,0.0152,0.0874,2.2333
BOE,3,1.4889,0.0093,0.0583,1.4889
BOE,7,0.8210,0.0047,0.0321,0.8210
CSOT,6,8.6730,0.0260,0.5941,8.6730
CSOT,5,5.0249,0.0210,0.3442,5.0249
CSOT,10,5.0249,0.0127,0.3442,5.0249
CSOT,9,4.5512,0.0163,0.3118,4.5512
CSOT,8,4.1049,0.0212,0.2812,4.1049
CSOT,12,3.7222,0.0133,0.2550,3.7222
CSOT,13,2.9236,0.0136,0.2003,2.9236
CSOT,11,2.8211,0.0117,0.1933,2.8211
CSOT,1,2.2756,0.0086,0.1559,2.2756
CSOT,3,2.2333,0.0139,0.1530,2.2333
CSOT,7,1.6420,0.0094,0.1125,1.6420
CSOT,2,1.5171,0.0061,0.1039,1.5171
CSOT,0,1.4889,0.0101,0.1020,1.4889
CSOT,4,1.4357,0.0072,0.0984,1.4357
IoT,2,12.8950,0.0521,0.6409,12.8950
IoT,10,7.8962,0.0199,0.3924,7.8962
IoT,13,5.1162,0.0237,0.2543,5.1162
IoT,4,5.0249,0.0254,0.2497,5.0249
IoT,8,4.9259,0.0254,0.2448,4.9259
IoT,7,4.1049,0.0236,0.2040,4.1049
IoT,6,3.9423,0.0118,0.1959,3.9423
IoT,1,3.7926,0.0143,0.1885,3.7926
IoT,3,3.7222,0.0231,0.1850,3.7222
IoT,11,3.5263,0.0146,0.1753,3.5263
IoT,9,3.0341,0.0109,0.1508,3.0341
IoT,0,2.9778,0.0202,0.1480,2.9778
IoT,12,2.9778,0.0106,0.1480,2.9778
IoT,5,0.7178,0.0030,0.0357,0.7178
LG디스플레이,6,48.0959,0.1442,0.5117,48.0959
LG디스플레이,8,38.5861,0.1992,0.4105,38.5861
LG디스플레이,10,32.3028,0.0814,0.3437,32.3028
LG디스플레이,2,28.0656,0.1135,0.2986,28.0656
LG디스플레이,12,25.3110,0.0902,0.2693,25.3110
LG디스플레이,13,23.3884,0.1085,0.2488,23.3884
LG디스플레이,9,20.4803,0.0734,0.2179,20.4803
LG디스플레이,4,17.9460,0.0906,0.1909,17.9460
LG디스플레이,5,17.2282,0.0719,0.1833,17.2282
LG디스플레이,0,17.1221,0.1162,0.1822,17.1221
LG디스플레이,1,16.6877,0.0630,0.1775,16.6877
LG디스플레이,7,13.9567,0.0802,0.1485,13.9567
LG디스플레이,3,11.1666,0.0694,0.1188,11.1666
LG디스플레이,11,9.1685,0.0379,0.0975,9.1685
LG전자,2,31.8583,0.1288,0.4051,31.8583
LG전자,10,30.1493,0.0759,0.3834,30.1493
LG전자,6,27.5960,0.0827,0.3509,27.5960
LG전자,4,25.1244,0.1268,0.3195,25.1244
LG전자,0,20.0999,0.1364,0.2556,20.0999
LG전자,12,20.0999,0.0716,0.2556,20.0999
LG전자,7,19.7035,0.1132,0.2505,19.7035
LG전자,8,18.0616,0.0932,0.2297,18.0616
LG전자,3,16.3777,0.1019,0.2083,16.3777
LG전자,11,15.5159,0.0641,0.1973,15.5159
LG전자,1,15.1706,0.0573,0.1929,15.1706
LG전자,13,14.6178,0.0678,0.1859,14.6178
LG전자,5,14.3568,0.0599,0.1826,14.3568
LG전자,9,13.6535,0.0489,0.1736,13.6535
LG화학,10,5.0249,0.0127,0.6134,5.0249
LG화학,1,3.0341,0.0115,0.3704,3.0341
LG화학,2,3.0341,0.0123,0.3704,3.0341
LG화학,11,2.8211,0.0117,0.3444,2.8211
LG화학,12,2.2333,0.0080,0.2726,2.2333
LG화학,7,1.6420,0.0094,0.2004,1.6420
LG화학,0,1.4889,0.0101,0.1817,1.4889
LG화학,13,1.4618,0.0068,0.1784,1.4618
LG화학,8,0.8210,0.0042,0.1002,0.8210
LG화학,6,0.7885,0.0024,0.0962,0.7885
LG화학,9,0.7585,0.0027,0.0926,0.7585
LG화학,3,0.7444,0.0046,0.0909,0.7444
LG화학,4,0.7178,0.0036,0.0876,0.7178
LG화학,5,0.7178,0.0030,0.0876,0.7178
SK하이닉스,10,26.5601,0.0669,0.4989,26.5601
SK하이닉스,11,19.7475,0.0816,0.3709,19.7475
SK하이닉스,2,18.2047,0.0736,0.3420,18.2047
SK하이닉스,9,14.4121,0.0516,0.2707,14.4121
SK하이닉스,4,14.3568,0.0725,0.2697,14.3568
SK하이닉스,12,14.1444,0.0504,0.2657,14.1444
SK하이닉스,7,12.3147,0.0708,0.2313,12.3147
SK하이닉스,1,11.3779,0.0430,0.2137,11.3779
SK하이닉스,3,11.1666,0.0694,0.2098,11.1666
SK하이닉스,13,10.9633,0.0508,0.2059,10.9633
SK하이닉스,6,10.2499,0.0307,0.1925,10.2499
SK하이닉스,8,9.0308,0.0466,0.1696,9.0308
SK하이닉스,0,7.4444,0.0505,0.1398,7.4444
SK하이닉스,5,5.0249,0.0210,0.0944,5.0249
Semiconductor,7,2.4629,0.0142,0.6219,2.4629
Semiconductor,2,1.5171,0.0061,0.3831,1.5171
Semiconductor,3,1.4889,0.0093,0.3759,1.4889
Semiconductor,10,1.4357,0.0036,0.3625,1.4357
Semiconductor,11,1.4105,0.0058,0.3562,1.4105
Semiconductor,13,0.7309,0.0034,0.1845,0.7309
Semiconductor,5,0.7178,0.0030,0.1813,0.7178
TCL,6,9.4615,0.0284,0.5925,9.4615
TCL,5,7.1784,0.0299,0.4495,7.1784
TCL,12,4.4666,0.0159,0.2797,4.4666
TCL,13,4.3853,0.0203,0.2746,4.3853
TCL,10,4.3070,0.0108,0.2697,4.3070
TCL,8,4.1049,0.0212,0.2571,4.1049
TCL,9,3.7926,0.0136,0.2375,3.7926
TCL,11,2.8211,0.0117,0.1767,2.8211
TCL,1,2.2756,0.0086,0.1425,2.2756
TCL,4,2.1535,0.0109,0.1349,2.1535
TCL,7,1.6420,0.0094,0.1028,1.6420
TCL,2,1.5171,0.0061,0.0950,1.5171
TCL,0,1.4889,0.0101,0.0932,1.4889
TSMC,11,11.2843,0.0466,0.7067,11.2843
TSMC,4,5.7427,0.0290,0.3596,5.7427
TSMC,7,4.9259,0.0283,0.3085,4.9259
TSMC,0,3.7222,0.0253,0.2331,3.7222
TSMC,3,3.7222,0.0231,0.2331,3.7222
TSMC,10,3.5892,0.0090,0.2248,3.5892
TSMC,2,3.0341,0.0123,0.1900,3.0341
TSMC,8,2.4629,0.0127,0.1542,2.4629
TSMC,12,2.2333,0.0080,0.1399,2.2333
TSMC,6,1.5769,0.0047,0.0988,1.5769
TSMC,1,1.5171,0.0057,0.0950,1.5171
TSMC,13,1.4618,0.0068,0.0915,1.4618
TSMC,5,1.4357,0.0060,0.0899,1.4357
TSMC,9,0.7585,0.0027,0.0475,0.7585
Tianma,10,4.3070,0.0108,0.6125,4.3070
Tianma,6,3.1538,0.0095,0.4485,3.1538
Tianma,5,2.8714,0.0120,0.4083,2.8714
Tianma,2,1.5171,0.0061,0.2157,1.5171
Tianma,9,1.5171,0.0054,0.2157,1.5171
Tianma,12,1.4889,0.0053,0.2117,1.4889
Tianma,13,1.4618,0.0068,0.2079,1.4618
Tianma,11,1.4105,0.0058,0.2006,1.4105
Tianma,8,0.8210,0.0042,0.1167,0.8210
Tianma,1,0.7585,0.0029,0.1079,0.7585
Tianma,4,0.7178,0.0036,0.1021,0.7178
Visionox,5,7.1784,0.0299,0.5068,7.1784
Visionox,10,6.4606,0.0163,0.4561,6.4606
Visionox,6,6.3077,0.0189,0.4453,6.3077
Visionox,9,3.7926,0.0136,0.2678,3.7926
Visionox,11,3.5263,0.0146,0.2490,3.5263
Visionox,1,3.0341,0.0115,0.2142,3.0341
Visionox,12,2.9778,0.0106,0.2102,2.9778
Visionox,13,2.9236,0.0136,0.2064,2.9236
Visionox,8,2.4629,0.0127,0.1739,2.4629
Visionox,4,2.1535,0.0109,0.1520,2.1535
Visionox,2,1.5171,0.0061,0.1071,1.5171
Visionox,0,0.7444,0.0051,0.0526,0.7444
Visionox,3,0.7444,0.0046,0.0526,0.7444
구글,1,16.6877,0.0630,0.5173,16.6877
구글,10,12.2033,0.0307,0.3783,12.2033
구글,2,10.6194,0.0429,0.3292,10.6194
구글,12,10.4222,0.0371,0.3231,10.4222
구글,3,8.9333,0.0556,0.2769,8.9333
구글,4,7.8962,0.0399,0.2448,7.8962
구글,13,7.3089,0.0339,0.2266,7.3089
구글,11,7.0527,0.0292,0.2186,7.0527
구글,7,5.7469,0.0330,0.1781,5.7469
구글,5,5.7427,0.0240,0.1780,5.7427
구글,9,5.3097,0.0190,0.1646,5.3097
구글,0,4.4666,0.0303,0.1385,4.4666
구글,8,4.1049,0.0212,0.1272,4.1049
구글,6,3.9423,0.0118,0.1222,3.9423
기아,12,8.9333,0.0318,0.4807,8.9333
기아,10,8.6141,0.0217,0.4635,8.6141
기아,7,8.2098,0.0472,0.4417,8.2098
기아,1,4.5512,0.0172,0.2449,4.5512
기아,9,4.5512,0.0163,0.2449,4.5512
기아,3,4.4666,0.0278,0.2403,4.4666
기아,6,3.9423,0.0118,0.2121,3.9423
기아,13,3.6544,0.0169,0.1966,3.6544
기아,0,2.9778,0.0202,0.1602,2.9778
기아,4,2.8714,0.0145,0.1545,2.8714
기아,5,2.8714,0.0120,0.1545,2.8714
기아,2,2.2756,0.0092,0.1224,2.2756
기아,8,1.6420,0.0085,0.0883,1.6420
기아,11,0.7053,0.0029,0.0379,0.7053
네이버,10,8.6141,0.0217,0.5109,8.6141
네이버,12,7.4444,0.0265,0.4415,7.4444
네이버,1,5.3097,0.0201,0.3149,5.3097
네이버,3,4.4666,0.0278,0.2649,4.4666
네이버,2,3.7926,0.0153,0.2249,3.7926
네이버,9,3.7926,0.0136,0.2249,3.7926
네이버,4,3.5892,0.0181,0.2129,3.5892
네이버,11,3.5263,0.0146,0.2091,3.5263
네이버,8,3.2839,0.0169,0.1948,3.2839
네이버,6,3.1538,0.0095,0.1870,3.1538
네이버,0,2.9778,0.0202,0.1766,2.9778
네이버,13,2.9236,0.0136,0.1734,2.9236
네이버,5,2.8714,0.0120,0.1703,2.8714
네이버,7,2.4629,0.0142,0.1461,2.4629
마이크로소프트,2,2.2756,0.0092,0.4325,2.2756
마이크로소프트,12,2.2333,0.0080,0.4245,2.2333
마이크로소프트,13,2.1927,0.0102,0.4168,2.1927
마이크로소프트,4,2.1535,0.0109,0.4093,2.1535
마이크로소프트,10,2.1535,0.0054,0.4093,2.1535
마이크로소프트,7,0.8210,0.0047,0.1560,0.8210
마이크로소프트,1,0.7585,0.0029,0.1442,0.7585
마이크로소프트,9,0.7585,0.0027,0.1442,0.7585
마이크로소프트,0,0.7444,0.0051,0.1415,0.7444
마이크로소프트,3,0.7444,0.0046,0.1415,0.7444
마이크로소프트,11,0.7053,0.0029,0.1341,0.7053
메타,1,17.4462,0.0659,0.6800,17.4462
메타,2,10.6194,0.0429,0.4139,10.6194
메타,10,9.3319,0.0235,0.3637,9.3319
메타,11,6.3474,0.0262,0.2474,6.3474
메타,3,5.2111,0.0324,0.2031,5.2111
메타,7,4.9259,0.0283,0.1920,4.9259
메타,12,4.4666,0.0159,0.1741,4.4666
메타,13,3.6544,0.0169,0.1424,3.6544
메타,9,3.0341,0.0109,0.1183,3.0341
메타,6,2.3654,0.0071,0.0922,2.3654
메타,0,2.2333,0.0152,0.0870,2.2333
메타,4,2.1535,0.0109,0.0839,2.1535
메타,5,2.1535,0.0090,0.0839,2.1535
벤츠,3,6.7000,0.0417,0.5196,7.6581
벤츠,2,6.0682,0.0245,0.4706,6.9360
벤츠,4,4.3070,0.0217,0.3340,4.9229
벤츠,10,3.5892,0.0090,0.2783,4.1025
벤츠,7,3.2839,0.0189,0.2547,3.7535
벤츠,0,2.9778,0.0202,0.2309,3.4036
벤츠,12,2.9778,0.0106,0.2309,3.4036
벤츠,6,2.3654,0.0071,0.1834,2.7036
벤츠,1,2.2756,0.0086,0.1765,2.6010
벤츠,9,2.2756,0.0082,0.1765,2.6010
