org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,,9.21 (3%),6.67 (2%),11.46 (4%),,6.14 (2%),,3.91 (2%),,,8.44 (3%),3.91 (2%),,8.59 (2%)
BOE,,9.97 (3%),25.19 (7%),,19.60 (7%),12.28 (4%),,,9.31 (3%),,14.58 (6%),,12.68 (6%),11.46 (3%)
CES,,,1.48 (0%),,,,,0.78 (0%),,1.51 (1%),,,0.70 (0%),0.72 (0%)
CSOT,,4.60 (1%),8.89 (3%),,7.54 (3%),2.30 (1%),,1.56 (1%),2.15 (1%),,,,2.82 (1%),4.30 (1%)
ETRI,0.77 (0%),,,0.72 (0%),,,,,,3.77 (1%),,,0.70 (0%),0.72 (0%)
IoT,,5.37 (2%),,5.01 (2%),,6.14 (2%),4.48 (3%),,4.30 (1%),6.78 (3%),5.37 (2%),,,10.03 (3%)
JDI,1.53 (1%),,3.70 (1%),,3.77 (1%),1.53 (1%),,,1.43 (0%),1.51 (1%),1.53 (1%),,,3.58 (1%)
LG디스플레이,,21.48 (7%),57.78 (17%),,45.23 (16%),,,30.47 (12%),,20.35 (8%),21.48 (8%),,23.95 (11%),25.06 (7%)
LG전자,38.36 (19%),30.69 (10%),,23.63 (7%),,36.06 (12%),,33.59 (13%),34.37 (12%),,,23.44 (14%),,30.08 (8%)
LG화학,7.67 (4%),8.44 (3%),,3.58 (1%),,3.07 (1%),,21.88 (9%),4.30 (1%),6.78 (3%),,,,3.58 (1%)
SID,,,1.48 (0%),,,,,0.78 (0%),,1.51 (1%),,,0.70 (0%),0.72 (0%)
SK하이닉스,,13.04 (4%),,14.32 (4%),11.31 (4%),13.81 (5%),,,14.32 (5%),18.84 (7%),,8.59 (5%),,32.23 (9%)
TCL,3.84 (2%),3.84 (1%),5.19 (2%),3.58 (1%),5.28 (2%),6.91 (2%),,,5.73 (2%),,,,5.64 (3%),
TSMC,1.53 (1%),3.07 (1%),,6.45 (2%),,0.77 (0%),1.79 (1%),0.78 (0%),,,2.30 (1%),1.56 (1%),,
V2X,,,,2.15 (1%),2.26 (1%),2.30 (1%),1.79 (1%),,2.15 (1%),4.52 (2%),,1.56 (1%),,7.16 (2%)
구글,,10.24 (3%),10.78 (3%),11.29 (3%),,13.03 (4%),15.23 (8%),,,,16.75 (5%),,10.25 (4%),12.16 (3%)
기아,5.37 (3%),6.14 (2%),,,,7.67 (3%),,,6.45 (2%),8.29 (3%),,5.47 (3%),4.93 (2%),13.61 (4%)
네이버,,9.97 (3%),,6.45 (2%),,6.14 (2%),,5.47 (2%),5.01 (2%),7.54 (3%),3.84 (1%),,,7.88 (2%)
두산로보틱스,4.60 (2%),5.37 (2%),2.22 (1%),2.15 (1%),,,,21.09 (8%),2.15 (1%),,,,,
디지타임스,,3.07 (1%),4.44 (1%),3.58 (1%),2.26 (1%),1.53 (1%),,,,,3.07 (1%),2.34 (1%),,2.86 (1%)
마이크로소프트,3.84 (2%),9.21 (3%),,17.19 (5%),,,4.48 (3%),3.13 (1%),,,6.91 (3%),3.91 (2%),,4.30 (1%)
메타,3.07 (2%),7.67 (2%),,8.59 (3%),,3.84 (1%),4.48 (3%),3.13 (1%),,,5.37 (2%),,2.82 (1%),
미디어텍,,,,2.15 (1%),2.26 (1%),2.30 (1%),1.79 (1%),,2.15 (1%),4.52 (2%),,1.56 (1%),,7.16 (2%)
삼성디스플레이,,11.51 (4%),30.37 (9%),,13.57 (5%),,,10.94 (4%),,12.81 (5%),16.11 (6%),,14.79 (7%),12.89 (3%)
삼성전자,,56.99 (12%),69.33 (14%),56.39 (12%),66.07 (16%),72.95 (16%),,,79.79 (19%),48.15 (12%),,,,76.60 (14%)
샤오미,3.84 (2%),2.30 (1%),,2.15 (1%),2.26 (1%),5.37 (2%),1.79 (1%),,3.58 (1%),,,,2.11 (1%),
샤프,,2.30 (1%),7.41 (2%),,9.80 (3%),3.07 (1%),,,2.86 (1%),,,1.56 (1%),2.82 (1%),2.15 (1%)
선익시스템,,,0.74 (0%),0.72 (0%),0.75 (0%),,,,0.72 (0%),5.28 (2%),,,1.41 (1%),2.15 (1%)
소니,3.84 (2%),,2.96 (1%),3.58 (1%),3.02 (1%),4.60 (2%),6.28 (4%),,6.45 (2%),,3.07 (1%),,,
아이씨디,,0.77 (0%),2.96 (1%),2.15 (1%),3.77 (1%),,0.90 (1%),,,9.05 (3%),,,4.23 (2%),7.16 (2%)
알파벳,3.07 (2%),8.44 (3%),,12.89 (4%),,1.53 (1%),4.48 (3%),3.13 (1%),,,4.60 (2%),2.34 (1%),,
애플,,36.13 (10%),65.40 (16%),53.11 (14%),29.28 (9%),33.42 (9%),,,30.35 (9%),,60.52 (20%),,,24.45 (5%)
엔비디아,7.21 (3%),18.02 (5%),,26.91 (7%),,,6.32 (4%),6.42 (2%),,,10.81 (4%),6.42 (3%),,10.09 (2%)
원익IPS,,,2.22 (1%),1.43 (0%),3.77 (1%),,,,1.43 (0%),9.05 (3%),,,3.52 (2%),6.45 (2%)
카카오,1.53 (1%),3.07 (1%),,2.15 (1%),,3.84 (1%),,,2.86 (1%),4.52 (2%),1.53 (1%),,,6.45 (2%)
퀄컴,,3.51 (1%),,2.46 (1%),2.58 (1%),6.14 (2%),,,4.91 (1%),6.03 (2%),,3.57 (2%),,8.19 (2%)
하이센스,3.84 (2%),3.84 (1%),5.19 (2%),3.58 (1%),5.28 (2%),6.91 (2%),,,5.73 (2%),,,,5.64 (3%),
하이얼,3.84 (2%),2.30 (1%),,2.15 (1%),2.26 (1%),5.37 (2%),1.79 (1%),,3.58 (1%),,,,2.11 (1%),
한미반도체,,,,2.86 (1%),5.28 (2%),2.30 (1%),1.79 (1%),,2.86 (1%),8.29 (3%),,,3.52 (2%),11.46 (3%)
한화,4.60 (2%),2.30 (1%),,2.15 (1%),,,2.69 (2%),3.91 (2%),2.15 (1%),,0.77 (0%),10.94 (7%),,
한화시스템,1.53 (1%),3.07 (1%),,2.15 (1%),,3.84 (1%),,,2.86 (1%),4.52 (2%),1.53 (1%),,,6.45 (2%)
현대모비스,6.14 (3%),10.74 (3%),,6.45 (2%),,7.67 (3%),,17.97 (7%),7.88 (3%),8.29 (3%),,,,13.61 (4%)
현대자동차,3.07 (2%),4.60 (1%),,2.86 (1%),,2.30 (1%),,1.56 (1%),4.30 (1%),,,3.13 (2%),,4.30 (1%)
현대차,6.14 (3%),11.51 (4%),,7.16 (2%),,10.74 (4%),,,10.74 (4%),9.80 (4%),6.14 (2%),,,18.62 (5%)
화웨이,,,0.94 (0%),,,2.93 (1%),,,0.91 (0%),,0.98 (0%),0.99 (0%),0.90 (0%),
