org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,7.03 (4%),7.28 (2%),2.29 (1%),6.67 (2%),4.44 (1%),4.30 (2%),11.11 (4%),8.45 (2%)
BOE,7.03 (4%),6.55 (2%),4.58 (3%),25.19 (8%),13.33 (4%),14.32 (5%),7.41 (2%),14.79 (4%)
CES,,0.73 (0%),,1.48 (0%),,,,0.70 (0%)
CSOT,3.13 (2%),1.46 (0%),1.15 (1%),8.15 (2%),3.70 (1%),2.86 (1%),1.48 (0%),4.93 (1%)
IoT,4.69 (3%),9.47 (3%),,,5.93 (2%),2.86 (1%),4.44 (1%),9.16 (2%)
JDI,,2.18 (1%),1.15 (1%),3.70 (1%),0.74 (0%),1.43 (1%),2.22 (1%),3.52 (1%)
LG디스플레이,14.06 (8%),13.84 (4%),5.73 (3%),54.82 (16%),23.70 (7%),30.08 (11%),16.30 (5%),27.47 (7%)
LG전자,28.13 (15%),24.76 (8%),50.39 (30%),20.00 (6%),40.00 (12%),30.08 (11%),40.00 (13%),27.47 (7%)
LG화학,1.56 (1%),1.46 (0%),,2.96 (1%),2.22 (1%),15.04 (5%),2.96 (1%),4.23 (1%)
SID,,0.73 (0%),,1.48 (0%),,,,0.70 (0%)
SK하이닉스,7.81 (4%),29.13 (9%),4.58 (3%),5.93 (2%),13.33 (4%),5.73 (2%),14.07 (4%),29.59 (8%)
Semiconductor,,2.18 (1%),,,1.48 (0%),0.72 (0%),0.74 (0%),0.70 (0%)
TCL,1.56 (1%),1.46 (0%),,4.44 (1%),9.63 (3%),2.15 (1%),6.67 (2%),2.11 (1%)
TSMC,0.78 (0%),2.18 (1%),,0.74 (0%),0.74 (0%),0.72 (0%),2.96 (1%),1.41 (0%)
V2X,0.78 (0%),7.28 (2%),,,2.22 (1%),1.43 (1%),2.22 (1%),6.34 (2%)
구글,10.42 (5%),14.13 (4%),4.17 (2%),10.78 (3%),17.07 (4%),6.95 (2%),9.88 (3%),12.82 (3%)
기아,4.69 (3%),14.56 (5%),3.44 (2%),2.96 (1%),7.41 (2%),2.86 (1%),5.19 (2%),11.27 (3%)
네이버,3.13 (2%),8.01 (2%),,2.96 (1%),4.44 (1%),2.86 (1%),2.96 (1%),6.34 (2%)
두산로보틱스,,,,2.22 (1%),,13.61 (5%),0.74 (0%),
디지타임스,1.56 (1%),0.73 (0%),,4.44 (1%),1.48 (0%),2.86 (1%),0.74 (0%),4.23 (1%)
마이크로소프트,2.34 (1%),6.55 (2%),1.15 (1%),2.22 (1%),2.22 (1%),3.58 (1%),9.63 (3%),5.64 (1%)
메타,3.13 (2%),4.37 (1%),,1.48 (0%),4.44 (1%),2.86 (1%),8.89 (3%),2.11 (1%)
미디어텍,0.78 (0%),7.28 (2%),,,2.22 (1%),1.43 (1%),2.22 (1%),6.34 (2%)
삼성디스플레이,10.16 (5%),5.83 (2%),3.44 (2%),29.63 (9%),11.85 (4%),15.04 (5%),7.41 (2%),17.61 (5%)
삼성전자,28.95 (11%),58.13 (13%),17.95 (8%),62.30 (13%),77.08 (16%),53.08 (13%),58.07 (13%),72.30 (13%)
샤오미,1.56 (1%),1.46 (0%),,0.74 (0%),5.93 (2%),1.43 (1%),5.19 (2%),0.70 (0%)
샤프,1.56 (1%),0.73 (0%),1.15 (1%),6.67 (2%),4.44 (1%),2.86 (1%),1.48 (0%),2.82 (1%)
선익시스템,,,,0.74 (0%),,0.72 (0%),,3.52 (1%)
소니,3.13 (2%),2.18 (1%),2.29 (1%),2.96 (1%),7.41 (2%),2.15 (1%),5.93 (2%),2.11 (1%)
아이씨디,0.78 (0%),2.91 (1%),,2.96 (1%),,0.72 (0%),0.74 (0%),8.45 (2%)
알파벳,1.56 (1%),5.83 (2%),,2.22 (1%),2.22 (1%),2.86 (1%),10.37 (3%),2.11 (1%)
애플,17.47 (8%),20.57 (5%),6.74 (3%),66.28 (17%),33.14 (8%),36.25 (11%),32.27 (9%),29.85 (7%)
엔비디아,6.42 (3%),11.97 (3%),4.03 (2%),2.61 (1%),4.35 (1%),6.73 (2%),18.27 (5%),12.41 (3%)
원익IPS,,1.46 (0%),,2.22 (1%),0.74 (0%),0.72 (0%),,8.45 (2%)
카카오,2.34 (1%),7.28 (2%),,1.48 (0%),2.96 (1%),0.72 (0%),2.22 (1%),5.64 (1%)
퀄컴,0.89 (0%),8.32 (2%),1.31 (1%),1.69 (0%),5.93 (2%),3.27 (1%),2.54 (1%),7.25 (2%)
하이센스,1.56 (1%),1.46 (0%),,4.44 (1%),9.63 (3%),2.15 (1%),6.67 (2%),2.11 (1%)
하이얼,1.56 (1%),1.46 (0%),,0.74 (0%),5.93 (2%),1.43 (1%),5.19 (2%),0.70 (0%)
한미반도체,0.78 (0%),8.74 (3%),,1.48 (0%),2.96 (1%),1.43 (1%),2.22 (1%),11.27 (3%)
한화,5.74 (3%),,55.31 (32%),,5.44 (2%),4.51 (2%),8.56 (3%),0.74 (0%)
한화시스템,2.34 (1%),7.28 (2%),,1.48 (0%),2.96 (1%),0.72 (0%),2.22 (1%),5.64 (1%)
현대모비스,3.91 (2%),14.56 (5%),,5.19 (2%),6.67 (2%),12.89 (5%),4.44 (1%),11.27 (3%)
현대자동차,1.56 (1%),3.64 (1%),3.44 (2%),0.74 (0%),2.96 (1%),0.72 (0%),5.19 (2%),3.52 (1%)
현대차,6.25 (3%),18.93 (6%),3.44 (2%),3.70 (1%),10.37 (3%),3.58 (1%),10.37 (3%),15.50 (4%)
화웨이,,,,0.94 (0%),1.89 (0%),,,
