org,topic_0,topic_1,topic_10,topic_11,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,82.25 (23%),,17.18 (2%),,21.02 (2%),31.48 (3%),,,31.19 (3%),17.18 (1%),19.75 (7%),12.48 (1%)
AUO,,25.92 (2%),10.74 (1%),,21.72 (2%),8.78 (1%),,17.00 (1%),15.94 (1%),30.07 (2%),,18.02 (2%)
BMW,,7.01 (0%),8.59 (1%),,7.71 (1%),,,6.37 (1%),7.62 (1%),11.46 (1%),6.01 (2%),7.62 (1%)
BOE,,91.08 (6%),55.13 (6%),,59.55 (5%),38.07 (4%),,76.48 (6%),60.30 (6%),63.72 (5%),,45.75 (5%)
BYD,,11.21 (1%),12.17 (1%),,7.01 (1%),,,4.96 (0%),8.32 (1%),7.88 (1%),5.15 (2%),5.55 (1%)
CES,1.29 (0%),2.10 (0%),,,2.10 (0%),,,2.12 (0%),1.39 (0%),2.15 (0%),0.86 (0%),1.39 (0%)
CSOT,,53.24 (4%),30.07 (3%),,24.52 (2%),19.03 (2%),,46.03 (4%),18.71 (2%),23.63 (2%),,18.02 (2%)
Counterpoint,,,,,0.70 (0%),0.73 (0%),,,0.69 (0%),,2.58 (1%),0.69 (0%)
ETRI,,,,,0.70 (0%),,,,0.69 (0%),0.72 (0%),,1.39 (0%)
HP,,0.70 (0%),1.43 (0%),0.72 (0%),,1.46 (0%),,,,,,0.69 (0%)
IEC,,3.50 (0%),,0.72 (0%),7.71 (1%),2.20 (0%),,2.12 (0%),4.85 (0%),3.58 (0%),,4.85 (1%)
IEEE,,1.40 (0%),2.15 (0%),0.72 (0%),1.40 (0%),1.46 (0%),,,2.08 (0%),1.43 (0%),,1.39 (0%)
ITU,,3.50 (0%),,0.72 (0%),7.71 (1%),2.20 (0%),,2.12 (0%),4.85 (0%),3.58 (0%),,4.85 (1%)
Innolux,,27.32 (2%),17.18 (2%),10.86 (2%),25.22 (2%),,,19.12 (2%),20.79 (2%),40.09 (3%),,19.41 (2%)
IoT,,18.92 (1%),19.33 (2%),,16.11 (1%),8.78 (1%),,9.91 (1%),12.48 (1%),17.90 (1%),,13.86 (1%)
