org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,9.81 (1%),,10.51 (1%),6.52 (1%),11.46 (1%),,33.94 (8%),28.97 (5%),26.49 (3%),8.25 (2%)
AUO,26.62 (2%),,13.31 (1%),9.41 (1%),8.59 (1%),12.17 (2%),5.22 (1%),10.46 (2%),8.59 (1%),
BMW,12.61 (1%),5.56 (1%),3.50 (0%),2.90 (0%),3.58 (0%),3.58 (0%),,9.66 (2%),,2.48 (1%)
BOE,88.27 (6%),,52.54 (6%),53.57 (7%),62.29 (6%),48.69 (6%),,25.76 (4%),40.81 (4%),17.34 (5%)
BYD,11.21 (1%),3.18 (1%),4.20 (0%),2.90 (0%),2.86 (0%),2.86 (0%),,4.02 (1%),3.58 (0%),
CES,2.10 (0%),,,,1.43 (0%),0.72 (0%),,1.61 (0%),0.72 (0%),
CSOT,51.14 (3%),,27.32 (3%),34.02 (5%),40.09 (4%),26.49 (3%),7.83 (2%),11.27 (2%),20.05 (2%),
Counterpoint,,,0.70 (0%),0.72 (0%),,,,,0.72 (0%),
ETRI,0.70 (0%),0.79 (0%),,,,,,,,
HP,0.70 (0%),,0.70 (0%),0.72 (0%),,,,,0.72 (0%),
IEC,4.20 (0%),,2.80 (0%),0.72 (0%),0.72 (0%),2.15 (0%),,,2.15 (0%),
IEEE,1.40 (0%),,1.40 (0%),1.45 (0%),0.72 (0%),0.72 (0%),,,2.15 (0%),0.83 (0%)
ITU,4.20 (0%),,2.80 (0%),0.72 (0%),0.72 (0%),2.15 (0%),,,2.15 (0%),
Innolux,31.53 (2%),8.74 (2%),11.91 (1%),13.03 (2%),9.31 (1%),15.75 (2%),,11.27 (2%),11.46 (1%),
IoT,19.62 (1%),10.33 (2%),9.81 (1%),7.24 (1%),4.30 (0%),5.01 (1%),,12.88 (2%),6.44 (1%),
JDI,14.01 (1%),6.36 (1%),7.01 (1%),3.62 (0%),13.60 (1%),7.88 (1%),3.48 (1%),,7.16 (1%),
KAIST,4.20 (0%),,2.80 (0%),0.72 (0%),0.72 (0%),2.15 (0%),,,2.15 (0%),
LG디스플레이,154.13 (10%),25.44 (6%),81.27 (9%),79.63 (11%),133.88 (12%),76.61 (9%),,28.97 (5%),55.85 (6%),
LG전자,87.57 (6%),34.98 (8%),41.33 (5%),,62.29 (6%),38.66 (5%),45.26 (11%),66.80 (12%),68.02 (7%),
LG화학,28.02 (2%),26.23 (6%),13.31 (1%),7.24 (1%),5.73 (1%),12.89 (2%),6.96 (2%),,14.32 (1%),
SID,4.90 (0%),1.59 (0%),1.40 (0%),2.17 (0%),2.86 (0%),3.58 (0%),0.87 (0%),,1.43 (0%),
SK하이닉스,21.72 (1%),10.33 (2%),14.01 (2%),10.13 (1%),22.19 (2%),17.18 (2%),14.80 (4%),,34.37 (4%),
Semiconductor,9.11 (1%),1.59 (0%),3.50 (0%),4.34 (1%),,3.58 (0%),0.87 (0%),1.61 (0%),4.30 (0%),
TCL,45.54 (3%),6.36 (1%),21.02 (2%),28.23 (4%),32.22 (3%),17.18 (2%),,12.07 (2%),15.75 (2%),
TSMC,12.61 (1%),6.36 (1%),6.31 (1%),,5.01 (0%),6.44 (1%),6.96 (2%),,12.89 (1%),5.78 (2%)
Tianma,29.42 (2%),,14.01 (2%),23.17 (3%),15.04 (1%),19.33 (2%),5.22 (1%),6.44 (1%),7.16 (1%),
Toray,2.10 (0%),0.79 (0%),0.70 (0%),2.90 (0%),0.72 (0%),2.15 (0%),,,,0.83 (0%)
UDC,2.80 (0%),1.59 (0%),1.40 (0%),0.72 (0%),0.72 (0%),2.15 (0%),,,,
Visionox,21.02 (1%),,10.51 (1%),10.13 (1%),17.18 (2%),17.90 (2%),2.61 (1%),2.41 (0%),5.01 (1%),
구글,22.32 (1%),,23.09 (2%),11.14 (1%),21.24 (2%),18.88 (2%),8.61 (2%),7.07 (1%),29.11 (3%),
기아,38.67 (2%),23.34 (4%),19.75 (2%),13.60 (2%),15.98 (1%),17.66 (2%),,11.34 (2%),21.86 (2%),
기아자동차,9.11 (1%),7.15 (2%),3.50 (0%),2.90 (0%),2.86 (0%),,,7.24 (1%),3.58 (0%),4.13 (1%)
네이버,,1.59 (0%),1.40 (0%),0.72 (0%),1.43 (0%),,3.48 (1%),7.24 (1%),1.43 (0%),0.83 (0%)
디지타임스,7.01 (0%),1.59 (0%),4.20 (0%),2.90 (0%),3.58 (0%),6.44 (1%),,3.22 (1%),,0.83 (0%)
레노버,0.70 (0%),,1.40 (0%),0.72 (0%),0.72 (0%),0.72 (0%),,,,
마이크로소프트,16.81 (1%),,13.31 (1%),10.13 (1%),14.32 (1%),6.44 (1%),,8.85 (2%),20.05 (2%),19.81 (6%)
메타,35.03 (2%),12.72 (3%),23.12 (3%),13.03 (2%),15.75 (1%),20.76 (3%),,9.66 (2%),18.62 (2%),
미디어텍,4.20 (0%),,2.10 (0%),2.17 (0%),,2.86 (0%),2.61 (1%),2.41 (0%),5.01 (1%),2.48 (1%)
벤츠,7.01 (0%),4.77 (1%),2.10 (0%),2.17 (0%),2.15 (0%),1.43 (0%),,7.24 (1%),,1.65 (0%)
비보,17.16 (1%),,12.11 (1%),9.39 (1%),20.63 (1%),8.25 (1%),,4.64 (1%),6.19 (0%),
삼성디스플레이,102.99 (7%),20.67 (5%),53.24 (6%),48.50 (7%),77.32 (7%),61.57 (8%),,25.76 (4%),55.85 (6%),
삼성전자,350.38 (10%),,206.83 (11%),165.87 (10%),351.76 (15%),217.68 (12%),187.92 (20%),187.96 (15%),384.89 (18%),
샤오미,50.44 (3%),4.77 (1%),35.73 (4%),24.61 (3%),41.53 (4%),25.06 (3%),,11.27 (2%),22.19 (2%),
샤오펑,5.60 (0%),,2.10 (0%),1.45 (0%),1.43 (0%),1.43 (0%),,1.61 (0%),1.43 (0%),
샤프,13.31 (1%),,6.31 (1%),7.96 (1%),12.89 (1%),5.01 (1%),,0.80 (0%),2.15 (0%),0.83 (0%)
선익시스템,6.31 (0%),2.38 (1%),2.10 (0%),,4.30 (0%),4.30 (1%),0.87 (0%),,4.30 (0%),0.83 (0%)
소니,13.31 (1%),6.36 (1%),4.20 (0%),4.34 (1%),4.30 (0%),3.58 (0%),,4.02 (1%),4.30 (0%),
아마존,8.41 (1%),4.77 (1%),6.31 (1%),,8.59 (1%),,7.83 (2%),6.44 (1%),18.62 (2%),11.56 (3%)
아이씨디,3.50 (0%),1.59 (0%),0.70 (0%),,0.72 (0%),1.43 (0%),,,0.72 (0%),
알파벳,11.21 (1%),,9.11 (1%),7.24 (1%),12.89 (1%),4.30 (1%),,6.44 (1%),16.47 (2%),14.03 (4%)
애플,109.61 (7%),24.21 (5%),75.03 (8%),53.21 (7%),99.23 (9%),72.92 (9%),,34.65 (6%),60.89 (6%),
엔비디아,23.64 (1%),16.10 (3%),23.64 (2%),,21.26 (1%),,17.62 (3%),14.13 (2%),49.29 (4%),20.06 (4%)
오포,15.41 (1%),,11.21 (1%),8.69 (1%),20.76 (2%),9.31 (1%),,4.02 (1%),5.73 (1%),
