date,topic_id,avg_sentiment,article_count
2025-10-17,0,0.5098,30
2025-10-17,1,0.5094,28
2025-10-17,2,0.5098,30
2025-10-17,3,0.5094,28
2025-10-17,4,0.5096,26
2025-10-17,5,0.5094,28
2025-10-17,6,0.5098,30
2025-10-17,7,0.5099,29
2025-10-17,8,0.5098,30
2025-10-17,9,0.5098,30
2025-10-17,10,0.5093,25
2025-10-17,11,0.5094,28
2025-10-18,0,0.5098,30
2025-10-18,1,0.5094,28
2025-10-18,2,0.5098,30
2025-10-18,3,0.5094,28
2025-10-18,4,0.5096,26
2025-10-18,5,0.5094,28
2025-10-18,6,0.5098,30
2025-10-18,7,0.5099,29
2025-10-18,8,0.5098,30
2025-10-18,9,0.5098,30
2025-10-18,10,0.5093,25
2025-10-18,11,0.5094,28
2025-10-19,0,0.4722,29
2025-10-19,1,0.4732,29
2025-10-19,2,0.4715,26
2025-10-19,3,0.4698,27
2025-10-19,4,0.4718,29
2025-10-19,5,0.4702,26
2025-10-19,6,0.4732,29
2025-10-19,7,0.469,25
