term,cur,prev,diff,ma7,z_like,total
삼성,31,6,25,9.429,5.299,378
lg,22,0,22,5.143,5.159,275
lg전자,20,1,19,5.143,4.547,63
애플,10,1,9,2.714,2.752,91
삼성전자,21,11,10,10.286,2.547,155
oled,9,5,4,3.429,1.954,143
현대차,4,0,4,0.714,1.781,27
맥북,3,0,3,0.571,1.383,12
갤럭시,3,0,3,0.714,1.239,25
아이폰,3,2,1,0.714,1.239,26
공급망,3,0,3,0.857,1.113,11
패널,2,1,1,0.429,0.95,11
ltpo,1,0,1,0.143,0.622,3
tsmc,1,0,1,0.143,0.622,13
고해상도,1,0,1,0.143,0.622,1
그램,1,0,1,0.143,0.622,1
삼성디스플레이,1,0,1,0.143,0.622,32
화웨이,1,0,1,0.143,0.622,4
ar,1,0,1,0.286,0.465,29
고효율,1,0,1,0.286,0.465,2
수율,1,0,1,0.286,0.465,3
아이패드,1,0,1,0.286,0.465,8
기아,1,1,0,0.286,0.465,4
게이밍,1,0,1,0.429,0.345,11
4k,1,0,1,0.571,0.244,4
sk하이닉스,1,0,1,0.571,0.244,25
엔비디아,1,0,1,0.714,0.155,10
폴더블,1,1,0,0.714,0.155,29
qled,2,11,-9,1.857,0.06,13
한화,1,0,1,1.429,-0.195,39
차세대,1,1,0,1.571,-0.254,41
