date,topic_id,avg_sentiment,article_count,semantic_key
2025-10-06,0,0.71,25,OLED_Topic
2025-10-06,1,0.62,18,Automotive_Topic
2025-10-07,0,0.65,22,Automotive_Topic
2025-10-07,2,0.69,31,OLED_Topic
2025-10-08,1,0.73,28,OLED_Topic
2025-10-08,2,0.45,11,Uncategorized
2025-10-08,3,0.59,15,Automotive_Topic
2025-10-09,0,0.68,35,OLED_Topic
2025-10-09,2,0.66,24,Automotive_Topic
2025-10-10,1,0.68,19,Automotive_Topic
2025-10-10,3,0.75,29,OLED_Topic
2025-10-11,0,0.61,21,Automotive_Topic
2025-10-11,1,0.72,33,OLED_Topic
2025-10-12,0,0.7,26,OLED_Topic
2025-10-12,2,0.67,25,Automotive_Topic
2025-10-13,1,0.64,17,Automotive_Topic
2025-10-13,2,0.68,30,OLED_Topic
2025-10-14,0,0.65,20,Automotive_Topic
2025-10-14,1,0.45,41,OLED_Topic
2025-10-14,3,0.51,9,Uncategorized
2025-10-15,0,0.38,55,OLED_Topic
2025-10-15,2,0.66,23,Automotive_Topic
2025-10-16,1,0.63,16,Automotive_Topic
2025-10-16,3,0.35,62,OLED_Topic
2025-10-17,0,0.31,58,OLED_Topic
2025-10-17,2,0.68,26,Automotive_Topic
2025-10-18,0,0.65,21,Automotive_Topic
2025-10-18,2,0.33,49,OLED_Topic
2025-10-19,1,0.29,68,OLED_Topic
2025-10-19,3,0.67,24,Automotive_Topic
2025-10-20,0,0.4814,29,Uncategorized
2025-10-20,1,0.4814,30,Uncategorized
2025-10-20,2,0.4814,30,Uncategorized
2025-10-20,3,0.4812,29,Uncategorized
2025-10-20,4,0.4818,29,Uncategorized
2025-10-20,5,0.4814,30,OLED_Topic
2025-10-20,6,0.4816,28,OLED_Topic
2025-10-20,7,0.4817,29,Uncategorized
2025-10-21,0,0.4727,522,Uncategorized
2025-10-21,1,0.4716,416,Uncategorized
2025-10-21,2,0.4718,458,Uncategorized
2025-10-21,3,0.4718,381,Uncategorized
2025-10-21,4,0.4726,535,OLED_Topic
2025-10-21,5,0.473,540,Uncategorized
2025-10-21,6,0.4727,540,OLED_Topic
2025-10-21,7,0.4711,108,Uncategorized
2025-10-22,0,0.5113,546,Uncategorized
2025-10-22,1,0.5113,591,Uncategorized
2025-10-22,2,0.5113,434,Uncategorized
2025-10-22,3,0.5114,578,OLED_Topic
2025-10-22,4,0.5114,560,Uncategorized
2025-10-22,5,0.5107,499,Uncategorized
2025-10-22,6,0.5113,494,Uncategorized
2025-10-22,7,0.5119,514,XR_Device_Topic
2025-10-23,0,0.5353,539,Uncategorized
2025-10-23,1,0.5346,571,OLED_Topic
2025-10-23,2,0.5342,635,Uncategorized
2025-10-23,3,0.5354,552,Uncategorized
2025-10-23,4,0.5352,539,OLED_Topic
2025-10-23,5,0.5352,504,Uncategorized
2025-10-23,6,0.5348,516,Uncategorized
2025-10-23,7,0.5348,555,Uncategorized
2025-10-24,0,0.4695,397,Uncategorized
2025-10-24,1,0.4687,505,Uncategorized
2025-10-24,2,0.4691,340,Uncategorized
2025-10-24,3,0.4682,331,Uncategorized
2025-10-24,4,0.4688,409,Uncategorized
2025-10-24,5,0.468,248,Uncategorized
2025-10-24,6,0.4687,487,Uncategorized
2025-10-24,7,0.4698,567,Uncategorized
2025-10-24,8,0.4689,474,OLED_Topic
2025-10-24,9,0.4681,272,Uncategorized
2025-10-24,10,0.4686,462,OLED_Topic
2025-10-24,11,0.4688,491,Apple_Topic
2025-10-26,0,0.5148,284,Uncategorized
2025-10-26,1,0.5147,269,Uncategorized
2025-10-26,2,0.5115,288,XR_Device_Topic
2025-10-26,3,0.5102,188,Uncategorized
2025-10-26,4,0.5142,271,Uncategorized
2025-10-26,5,0.5145,256,Uncategorized
2025-10-26,6,0.515,234,Uncategorized
2025-10-26,7,0.5158,175,Uncategorized
2025-10-27,0,0.5439,228,Uncategorized
2025-10-27,1,0.5396,87,Uncategorized
2025-10-27,2,0.5428,296,Uncategorized
2025-10-27,3,0.5432,323,Uncategorized
2025-10-27,4,0.5425,309,Uncategorized
2025-10-27,5,0.5424,238,Uncategorized
2025-10-27,6,0.5423,261,Uncategorized
2025-10-27,7,0.542,362,OLED_Topic
2025-10-27,8,0.543,294,Uncategorized
2025-10-27,9,0.5405,189,Uncategorized
2025-10-27,10,0.5413,174,Uncategorized
2025-10-27,11,0.5418,368,Uncategorized
