date,signal_articles,meta_articles,signal_ratio
2025-10-28,535,602,0.8887
2025-10-31,540,608,0.8882
2025-11-01,540,594,0.9091
2025-11-02,463,507,0.9132
2025-11-03,355,395,0.8987
2025-11-04,441,490,0.9000
2025-11-05,518,600,0.8633
2025-11-06,514,550,0.9345
2025-11-07,508,547,0.9287
2025-11-08,542,618,0.8770
2025-11-09,466,534,0.8727
2025-11-10,309,366,0.8443
2025-11-11,457,522,0.8755
2025-11-12,526,598,0.8796
2025-11-13,509,582,0.8746
2025-11-14,563,613,0.9184
2025-11-16,420,478,0.8787
2025-11-17,359,401,0.8953
2025-11-18,505,528,0.9564
