term,cur,prev,diff,total,ma7,z_like
lg전자,23,2,21,279,14.0,1.898
oled,21,3,18,319,13.857,1.513
삼성전자,17,4,13,500,15.429,0.319
애플,14,1,13,271,11.0,0.695
노트북,9,9,0,157,7.429,0.422
tv,9,4,5,309,9.857,-0.207
폴더블,7,3,4,147,8.0,-0.261
kaist,6,0,6,20,1.0,2.5
모니터,6,2,4,192,4.571,0.455
메타,5,0,5,28,1.0,2.0
올레드,5,2,3,77,1.286,1.741
lg디스플레이,5,0,5,141,5.0,0.0
xr,5,3,2,123,5.429,-0.129
아이폰,5,2,3,135,7.714,-0.719
화웨이,4,1,3,19,1.0,1.5
엔비디아,4,1,3,156,2.143,0.754
hp,3,0,3,12,0.571,1.383
lcd,3,1,2,38,1.286,0.803
구글,3,1,2,78,1.714,0.557
스마트폰,3,4,-1,104,5.571,-0.765
아마존,2,0,2,16,0.571,0.814
레노버,2,0,2,66,0.857,0.593
4k,2,0,2,9,0.857,0.593
tsmc,2,3,-1,11,1.0,0.5
모바일,2,0,2,66,1.286,0.335
공급망,2,1,1,35,1.429,0.26
양산,2,0,2,83,2.571,-0.219
tcl,2,1,1,67,2.571,-0.219
sk하이닉스,2,3,-1,90,5.857,-1.128
마이크로소프트,1,0,1,2,0.143,0.622
보쉬,1,0,1,1,0.143,0.622
퀄컴,1,0,1,46,0.286,0.465
맥북,1,0,1,21,0.429,0.345
dell,1,0,1,5,0.429,0.345
폭스바겐,1,0,1,4,0.429,0.345
고성능,1,0,1,25,0.714,0.155
boe,1,1,0,26,2.0,-0.414
ar,1,0,1,53,2.143,-0.464
갤럭시,1,0,1,100,3.571,-0.89
디스플레이,1,2,-1,163,5.143,-1.268
