term,cur,prev,diff,total,ma7,z_like
기아,7,0,7,52,1.429,2.538
딥엑스,5,0,5,6,0.714,2.323
아마존,6,2,4,22,1.429,2.082
hp,5,3,2,17,1.143,1.864
서피스,2,0,2,2,0.286,1.117
벤큐,2,0,2,10,0.429,0.95
벤츠,2,0,2,24,0.429,0.95
디스플레이,9,1,8,170,6.0,0.87
lcd,3,3,0,41,1.571,0.634
eleap,1,0,1,1,0.143,0.622
nokia,1,0,1,1,0.143,0.622
postech,1,0,1,1,0.143,0.622
생산량,1,0,1,1,0.143,0.622
intel,1,0,1,2,0.143,0.622
고해상도,1,0,1,3,0.143,0.622
nvidia,1,0,1,4,0.143,0.622
올레드tv,1,0,1,5,0.143,0.622
bmw,1,0,1,14,0.143,0.622
uhd,1,0,1,14,0.143,0.622
샤오미,1,0,1,15,0.143,0.622
레노버,2,2,0,68,0.857,0.593
고효율,1,0,1,3,0.286,0.465
4k,2,2,0,11,1.143,0.414
dell,1,1,0,6,0.571,0.244
수율,1,0,1,9,0.571,0.244
맥북,1,1,0,22,0.571,0.244
인텔,1,0,1,41,0.571,0.244
공급망,2,2,0,34,1.571,0.19
스마트폰,5,3,2,107,5.143,-0.044
갤럭시,2,1,1,101,3.286,-0.457
