term,cur,prev,diff,total,ma7,z_like
삼성,12,14,-2,308,7.571,1.18
삼성전자,11,6,5,75,3.286,2.743
애플,6,10,-4,63,4.429,0.506
lg전자,5,3,2,30,2.0,1.243
lg,5,3,2,244,3.0,0.732
oled,5,3,2,128,4.714,0.09
현대차,3,0,3,21,0.571,1.383
엔비디아,2,1,1,10,0.429,0.95
sk하이닉스,2,0,2,18,0.571,0.814
퀄컴,2,2,0,13,0.571,0.814
amd,2,2,0,5,0.571,0.814
갤럭시,2,2,0,23,0.857,0.593
아이폰,2,0,2,13,0.857,0.593
폴더블,2,2,0,18,1.286,0.335
삼성디스플레이,2,0,2,46,2.571,-0.219
샤오미,1,0,1,3,0.143,0.622
맥북,1,0,1,7,0.286,0.465
화웨이,1,1,0,4,0.286,0.465
에어팟,1,0,1,3,0.286,0.465
tsmc,1,0,1,11,0.429,0.345
패널,1,0,1,10,0.429,0.345
차세대,1,0,1,39,0.714,0.155
구글,1,2,-1,11,0.714,0.155
