term,cur,prev,diff,total,ma7,z_like
현대차,3,0,3,21,0.571,1.383
lg전자,5,3,2,30,2.0,1.243
엔비디아,2,1,1,10,0.429,0.95
amd,2,2,0,5,0.571,0.814
퀄컴,2,2,0,13,0.571,0.814
sk하이닉스,2,0,2,18,0.571,0.814
lg,5,3,2,244,3.0,0.732
샤오미,1,0,1,3,0.143,0.622
아이폰,2,0,2,13,0.857,0.593
갤럭시,2,2,0,23,0.857,0.593
에어팟,1,0,1,3,0.286,0.465
화웨이,1,1,0,4,0.286,0.465
맥북,1,0,1,7,0.286,0.465
패널,1,0,1,10,0.429,0.345
tsmc,1,0,1,11,0.429,0.345
폴더블,2,2,0,18,1.286,0.335
차세대,1,0,1,39,0.714,0.155
oled,5,3,2,128,4.714,0.09
삼성디스플레이,2,0,2,46,2.571,-0.219
