org,topic,base_score,topic_share,company_focus,hybrid_score
BOE,5,27.4101,0.0835,0.6547,27.4101
BOE,7,16.9353,0.0849,0.4045,16.9353
BOE,2,13.2537,0.0636,0.3166,13.2537
BOE,6,12.4766,0.0547,0.2980,12.4766
BOE,0,12.0180,0.0494,0.2871,12.0180
BOE,3,11.3110,0.0602,0.2702,11.3110
BOE,4,7.9345,0.0385,0.1895,7.9345
BOE,1,6.9315,0.0431,0.1656,6.9315
BYD,5,5.0492,0.0154,0.5735,5.0492
BYD,6,4.8520,0.0213,0.5511,4.8520
BYD,4,3.6066,0.0175,0.4097,3.6066
BYD,2,2.2090,0.0106,0.2509,2.2090
BYD,3,2.1208,0.0113,0.2409,2.1208
BYD,7,1.4726,0.0074,0.1673,1.4726
BYD,0,1.4139,0.0058,0.1606,1.4139
BYD,1,1.3863,0.0086,0.1575,1.3863
CES,4,2.1640,0.0105,0.6632,2.1640
CES,0,1.4139,0.0058,0.4333,1.4139
CES,6,1.3863,0.0061,0.4249,1.3863
CES,7,0.7363,0.0037,0.2257,0.7363
CES,5,0.7213,0.0022,0.2211,0.7213
CES,3,0.7069,0.0038,0.2167,0.7069
CES,1,0.6931,0.0043,0.2124,0.6931
CSOT,5,25.9675,0.0791,0.7684,25.9675
CSOT,2,11.0448,0.0530,0.3268,11.0448
CSOT,0,9.8972,0.0407,0.2929,9.8972
CSOT,6,9.7041,0.0426,0.2872,9.7041
CSOT,4,7.2132,0.0350,0.2134,7.2132
CSOT,3,7.0694,0.0376,0.2092,7.0694
CSOT,7,6.6269,0.0332,0.1961,6.6269
CSOT,1,2.7726,0.0172,0.0820,2.7726
Dell,3,1.4139,0.0075,0.7031,1.4139
Dell,2,0.7363,0.0035,0.3661,0.7363
Dell,7,0.7363,0.0037,0.3661,0.7363
Dell,1,0.6931,0.0043,0.3447,0.6931
Dell,6,0.6931,0.0030,0.3447,0.6931
HMI,1,2.0794,0.0129,0.8255,2.0794
HMI,4,0.7213,0.0035,0.2864,0.7213
HMI,5,0.7213,0.0022,0.2864,0.7213
HMI,0,0.7069,0.0029,0.2807,0.7069
HMI,6,0.6931,0.0030,0.2752,0.6931
IoT,1,6.2383,0.0388,0.4384,6.2383
IoT,6,6.2383,0.0274,0.4384,6.2383
IoT,4,5.7705,0.0280,0.4055,5.7705
IoT,5,5.7705,0.0176,0.4055,5.7705
IoT,2,4.4179,0.0212,0.3105,4.4179
IoT,7,3.6816,0.0185,0.2587,3.6816
IoT,0,3.5347,0.0145,0.2484,3.5347
