org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
BOE,12.02 (5%),6.93 (4%),13.25 (6%),11.31 (6%),7.93 (4%),27.41 (8%),12.48 (5%),16.94 (8%)
BYD,1.41 (1%),1.39 (1%),2.21 (1%),2.12 (1%),3.61 (2%),5.05 (2%),4.85 (2%),1.47 (1%)
CES,1.41 (1%),0.69 (0%),,0.71 (0%),2.16 (1%),0.72 (0%),1.39 (1%),0.74 (0%)
CSOT,9.90 (4%),2.77 (2%),11.04 (5%),7.07 (4%),7.21 (3%),25.97 (8%),9.70 (4%),6.63 (3%)
Dell,,0.69 (0%),0.74 (0%),1.41 (1%),,,0.69 (0%),0.74 (0%)
HMI,0.71 (0%),2.08 (1%),,,0.72 (0%),0.72 (0%),0.69 (0%),
IoT,3.53 (1%),6.24 (4%),4.42 (2%),3.53 (2%),5.77 (3%),5.77 (2%),6.24 (3%),3.68 (2%)
LG디스플레이,12.02 (5%),8.32 (5%),10.31 (5%),7.78 (4%),11.54 (6%),28.85 (9%),11.78 (5%),8.10 (4%)
LG전자,21.92 (9%),18.02 (11%),18.41 (9%),14.85 (8%),17.31 (8%),38.95 (12%),29.81 (13%),17.67 (9%)
LG화학,5.66 (2%),2.77 (2%),2.21 (1%),0.71 (0%),2.89 (1%),2.89 (1%),2.08 (1%),1.47 (1%)
SID,1.41 (1%),0.69 (0%),,,2.16 (1%),,,
SK하이닉스,11.31 (5%),5.55 (3%),3.68 (2%),4.24 (2%),7.21 (3%),3.61 (1%),3.47 (2%),7.36 (4%)
TCL,7.78 (3%),2.77 (2%),11.78 (6%),9.90 (5%),6.49 (3%),23.08 (7%),11.09 (5%),8.10 (4%)
구글,3.64 (1%),5.00 (3%),3.80 (2%),7.29 (4%),1.49 (1%),2.23 (1%),2.14 (1%),4.55 (2%)
기아,5.66 (2%),2.77 (2%),3.68 (2%),4.24 (2%),6.49 (3%),5.77 (2%),6.24 (3%),5.15 (3%)
네이버,0.71 (0%),2.08 (1%),6.63 (3%),6.36 (3%),,2.89 (1%),7.62 (3%),3.68 (2%)
디지타임스,2.83 (1%),2.08 (1%),2.21 (1%),0.71 (0%),5.77 (3%),2.89 (1%),0.69 (0%),0.74 (0%)
마이크로소프트,3.53 (1%),3.47 (2%),1.47 (1%),6.36 (3%),1.44 (1%),1.44 (0%),2.08 (1%),4.42 (2%)
메타,5.66 (2%),4.16 (3%),3.68 (2%),9.19 (5%),2.89 (1%),2.89 (1%),4.16 (2%),8.10 (4%)
벤츠,,2.08 (1%),8.84 (4%),14.14 (8%),,,6.24 (3%),5.15 (3%)
삼성디스플레이,22.27 (9%),15.28 (9%),13.92 (6%),6.68 (3%),23.48 (11%),21.96 (6%),13.83 (6%),11.60 (6%)
삼성전자,50.86 (13%),26.59 (10%),45.91 (14%),29.38 (10%),39.21 (12%),76.10 (15%),47.65 (13%),38.84 (12%)
샤오미,2.49 (1%),2.44 (1%),2.59 (1%),3.32 (2%),5.93 (2%),11.01 (3%),7.33 (3%),1.73 (1%)
샤오펑,1.41 (1%),1.39 (1%),2.21 (1%),2.12 (1%),3.61 (2%),5.05 (2%),4.85 (2%),1.47 (1%)
샤프,2.12 (1%),,1.47 (1%),0.71 (0%),1.44 (1%),4.33 (1%),1.39 (1%),
선익시스템,5.66 (2%),2.77 (2%),2.21 (1%),0.71 (0%),2.89 (1%),2.89 (1%),2.08 (1%),1.47 (1%)
소니,2.12 (1%),2.08 (1%),4.42 (2%),3.53 (2%),1.44 (1%),2.16 (1%),2.08 (1%),3.68 (2%)
아이씨디,5.66 (2%),2.77 (2%),2.21 (1%),0.71 (0%),2.89 (1%),2.89 (1%),2.08 (1%),1.47 (1%)
애플,14.01 (5%),8.40 (5%),15.41 (7%),7.78 (4%),15.09 (7%),11.91 (3%),7.63 (3%),9.73 (4%)
엔비디아,7.01 (2%),6.88 (3%),5.48 (2%),12.27 (5%),3.58 (1%),3.58 (1%),6.02 (2%),13.70 (6%)
원익IPS,18.38 (8%),11.09 (7%),5.89 (3%),3.53 (2%),11.54 (6%),6.49 (2%),5.55 (2%),6.63 (3%)
인텔,1.41 (1%),1.39 (1%),1.47 (1%),1.41 (1%),0.72 (0%),1.44 (0%),1.39 (1%),2.95 (1%)
하이센스,5.66 (2%),2.08 (1%),8.84 (4%),9.90 (5%),5.05 (2%),16.59 (5%),9.70 (4%),7.36 (4%)
한미반도체,5.66 (2%),4.16 (3%),1.47 (1%),0.71 (0%),4.33 (2%),0.72 (0%),1.39 (1%),1.47 (1%)
현대자동차,4.24 (2%),2.08 (1%),2.95 (1%),2.83 (2%),2.89 (1%),2.89 (1%),5.55 (2%),5.15 (3%)
현대차,7.50 (2%),4.60 (2%),5.86 (2%),6.56 (3%),8.61 (3%),7.66 (2%),8.28 (3%),8.79 (3%)
화웨이,0.77 (0%),0.76 (0%),,0.77 (0%),1.58 (1%),4.73 (1%),1.52 (1%),
