org,topic_0,topic_1,topic_2
ASUS,2.73 (1%),2.54 (1%),0.73 (0%)
AUO,3.42 (1%),1.69 (1%),2.94 (1%)
BMW,2.73 (1%),,1.47 (0%)
BOE,14.36 (4%),6.78 (3%),24.95 (8%)
BYD,1.37 (0%),,
CES,3.42 (1%),0.85 (0%),2.20 (1%)
CSOT,10.26 (3%),4.24 (2%),11.74 (4%)
Dell,2.73 (1%),2.54 (1%),0.73 (0%)
HMI,0.68 (0%),0.85 (0%),0.73 (0%)
HP,2.73 (1%),2.54 (1%),0.73 (0%)
Harman,4.10 (1%),0.85 (0%),3.67 (1%)
Innolux,2.05 (1%),,2.20 (1%)
IoT,12.31 (4%),4.24 (2%),11.74 (4%)
JDI,2.05 (1%),0.85 (0%),5.14 (2%)
KAIST,3.42 (1%),0.85 (0%),
LG디스플레이,30.77 (9%),13.56 (7%),44.04 (14%)
LG전자,29.40 (9%),11.01 (5%),24.95 (8%)
LG화학,12.99 (4%),5.08 (2%),12.48 (4%)
SK하이닉스,3.42 (1%),,4.40 (1%)
TCL,2.73 (1%),,3.67 (1%)
TSMC,12.31 (4%),5.93 (3%),6.61 (2%)
Tianma,4.10 (1%),0.85 (0%),5.87 (2%)
UDC,2.73 (1%),,1.47 (0%)
Visionox,2.05 (1%),0.85 (0%),2.94 (1%)
구글,4.10 (1%),5.08 (2%),2.20 (1%)
기아,12.31 (4%),4.24 (2%),11.74 (4%)
네이버,8.20 (2%),4.24 (2%),5.87 (2%)
니오,1.37 (0%),,
레노버,1.37 (0%),5.08 (2%),0.73 (0%)
메타,4.10 (1%),5.93 (3%),5.14 (2%)
미디어텍,1.37 (0%),1.69 (1%),0.73 (0%)
벤츠,2.73 (1%),,1.47 (0%)
삼성디스플레이,13.67 (4%),6.78 (3%),13.21 (4%)
삼성전자,43.75 (13%),28.81 (14%),29.36 (9%)
샤오미,6.15 (2%),7.63 (4%),2.20 (1%)
샤프,2.05 (1%),,2.20 (1%)
선익시스템,2.05 (1%),0.85 (0%),2.94 (1%)
소니,2.05 (1%),5.08 (2%),1.47 (0%)
애플,15.04 (4%),37.28 (18%),22.02 (7%)
엔비디아,4.10 (1%),4.24 (2%),1.47 (0%)
오포,4.10 (1%),7.63 (4%),1.47 (0%)
카카오,1.37 (0%),,0.73 (0%)
퀄컴,4.79 (1%),5.93 (3%),2.94 (1%)
폭스바겐,3.42 (1%),0.85 (0%),2.20 (1%)
하이센스,1.37 (0%),,3.67 (1%)
한미반도체,1.37 (0%),,0.73 (0%)
한화,9.57 (3%),2.54 (1%),7.34 (2%)
한화시스템,1.37 (0%),,0.73 (0%)
현대모비스,3.42 (1%),0.85 (0%),2.20 (1%)
현대자동차,1.37 (0%),,
현대차,15.04 (4%),4.24 (2%),10.28 (3%)
화웨이,2.05 (1%),2.54 (1%),
