org,topic_0,topic_1,topic_2,topic_3
ASUS,2.11 (1%),2.46 (1%),2.68 (3%),0.69 (0%)
AUO,1.41 (0%),2.46 (1%),1.79 (2%),4.16 (2%)
BMW,1.41 (0%),,,0.69 (0%)
BOE,9.84 (3%),6.55 (3%),4.47 (5%),17.33 (8%)
BYD,1.41 (0%),,0.89 (1%),1.39 (1%)
CES,3.51 (1%),0.82 (0%),1.79 (2%),1.39 (1%)
CSOT,9.14 (3%),3.28 (2%),2.68 (3%),7.62 (3%)
Dell,2.11 (1%),2.46 (1%),2.68 (3%),0.69 (0%)
HMI,1.41 (0%),0.82 (0%),,1.39 (1%)
HP,2.11 (1%),2.46 (1%),2.68 (3%),0.69 (0%)
Harman,5.62 (2%),0.82 (0%),,3.47 (2%)
Innolux,,0.82 (0%),1.79 (2%),2.08 (1%)
IoT,11.95 (4%),4.10 (2%),,4.16 (2%)
JDI,1.41 (0%),0.82 (0%),,2.77 (1%)
KAIST,2.81 (1%),0.82 (0%),0.89 (1%),0.69 (0%)
LG디스플레이,26.71 (9%),12.29 (6%),4.47 (5%),21.49 (9%)
LG전자,26.01 (9%),10.65 (5%),9.83 (10%),12.48 (6%)
LG화학,14.76 (5%),4.91 (3%),,4.85 (2%)
SK하이닉스,4.92 (2%),,,2.08 (1%)
TCL,2.11 (1%),,2.68 (3%),2.08 (1%)
TSMC,11.25 (4%),4.91 (3%),1.79 (2%),10.40 (5%)
Tianma,1.41 (0%),1.64 (1%),2.68 (3%),4.16 (2%)
UDC,1.41 (0%),,,0.69 (0%)
Visionox,1.41 (0%),0.82 (0%),0.89 (1%),2.08 (1%)
구글,2.81 (1%),4.91 (3%),2.68 (3%),2.77 (1%)
기아,11.95 (4%),3.28 (2%),1.79 (2%),8.32 (4%)
네이버,10.54 (3%),4.10 (2%),,6.24 (3%)
니오,1.41 (0%),,0.89 (1%),1.39 (1%)
레노버,0.70 (0%),5.73 (3%),,1.39 (1%)
메타,4.22 (1%),5.73 (3%),1.79 (2%),4.16 (2%)
미디어텍,1.41 (0%),1.64 (1%),,2.08 (1%)
벤츠,1.41 (0%),,,0.69 (0%)
삼성디스플레이,9.84 (3%),6.55 (3%),3.58 (4%),8.32 (4%)
삼성전자,43.58 (14%),24.57 (13%),11.62 (12%),26.34 (12%)
샤오미,4.22 (1%),6.55 (3%),2.68 (3%),3.47 (2%)
샤프,,0.82 (0%),1.79 (2%),2.08 (1%)
선익시스템,1.41 (0%),0.82 (0%),0.89 (1%),2.08 (1%)
소니,2.11 (1%),4.91 (3%),1.79 (2%),2.08 (1%)
애플,11.95 (4%),36.04 (18%),5.36 (6%),15.94 (7%)
엔비디아,3.51 (1%),4.10 (2%),2.68 (3%),2.77 (1%)
오포,3.51 (1%),6.55 (3%),1.79 (2%),2.77 (1%)
카카오,2.11 (1%),,,0.69 (0%)
퀄컴,4.92 (2%),5.73 (3%),1.79 (2%),4.85 (2%)
폭스바겐,3.51 (1%),0.82 (0%),0.89 (1%),1.39 (1%)
하이센스,0.70 (0%),,3.58 (4%),2.08 (1%)
한미반도체,2.11 (1%),,,0.69 (0%)
한화,8.43 (3%),2.46 (1%),0.89 (1%),4.16 (2%)
한화시스템,2.11 (1%),,,0.69 (0%)
현대모비스,3.51 (1%),0.82 (0%),0.89 (1%),1.39 (1%)
현대자동차,1.41 (0%),,,
현대차,14.06 (5%),3.28 (2%),2.68 (3%),7.62 (3%)
화웨이,1.41 (0%),1.64 (1%),,0.69 (0%)
