org,topic_0,topic_1
ASUS,2.11 (1%),1.41 (1%)
AUO,2.11 (1%),3.51 (1%)
BMW,2.11 (1%),1.41 (1%)
BOE,9.84 (4%),13.36 (5%)
BYD,1.41 (1%),1.41 (1%)
CES,2.81 (1%),2.81 (1%)
CSOT,8.43 (3%),9.14 (4%)
Dell,2.11 (1%),1.41 (1%)
HMI,0.70 (0%),0.70 (0%)
HP,2.11 (1%),1.41 (1%)
Harman,5.62 (2%),4.92 (2%)
Innolux,0.70 (0%),2.11 (1%)
IoT,11.95 (4%),6.33 (3%)
JDI,1.41 (1%),1.41 (1%)
KAIST,2.11 (1%),2.81 (1%)
LG디스플레이,26.01 (9%),23.20 (9%)
LG전자,26.71 (10%),15.46 (6%)
LG화학,14.06 (5%),7.73 (3%)
SK하이닉스,4.22 (2%),4.22 (2%)
TCL,1.41 (1%),0.70 (0%)
TSMC,10.54 (4%),11.25 (5%)
Tianma,2.11 (1%),4.22 (2%)
UDC,2.11 (1%),1.41 (1%)
Visionox,1.41 (1%),2.11 (1%)
구글,2.81 (1%),2.81 (1%)
기아,10.73 (3%),10.73 (4%)
네이버,8.43 (3%),6.33 (3%)
니오,1.41 (1%),1.41 (1%)
레노버,0.70 (0%),1.41 (1%)
메타,3.30 (1%),3.30 (1%)
미디어텍,1.41 (1%),1.41 (1%)
벤츠,2.48 (1%),1.65 (1%)
삼성디스플레이,9.84 (4%),9.84 (4%)
삼성전자,43.64 (13%),36.66 (12%)
샤오미,3.51 (1%),2.81 (1%)
샤프,0.70 (0%),2.11 (1%)
선익시스템,1.41 (1%),2.11 (1%)
소니,2.11 (1%),1.41 (1%)
애플,12.55 (4%),12.55 (5%)
엔비디아,3.51 (1%),2.81 (1%)
오포,2.81 (1%),1.41 (1%)
카카오,1.41 (1%),2.11 (1%)
퀄컴,4.92 (2%),4.92 (2%)
폭스바겐,2.81 (1%),2.81 (1%)
하이센스,,0.70 (0%)
한미반도체,1.41 (1%),2.11 (1%)
한화,9.14 (3%),4.92 (2%)
한화시스템,1.41 (1%),2.11 (1%)
현대모비스,2.81 (1%),2.81 (1%)
현대차,11.95 (4%),11.95 (5%)
화웨이,0.70 (0%),
