org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,207.74 (1%),122.44 (1%),,27.37 (2%),193.49 (3%),40.89 (1%),48.35 (1%),68.99 (1%),49.74 (2%),,
ASUS,60.53 (0%),68.79 (1%),,3.22 (0%),16.07 (0%),,14.65 (0%),18.30 (0%),13.70 (1%),,12.56 (0%)
AUO,30.95 (0%),29.58 (0%),,,9.78 (0%),4.54 (0%),5.13 (0%),5.63 (0%),4.33 (0%),,4.43 (0%)
Acer,50.90 (0%),56.41 (0%),2.77 (1%),,14.67 (0%),,11.72 (0%),19.01 (0%),11.53 (0%),,11.08 (0%)
BMW,46.09 (0%),40.58 (0%),,,23.05 (0%),11.36 (0%),73.26 (2%),19.71 (0%),23.07 (1%),,6.65 (0%)
BOE,729.83 (5%),738.77 (6%),,,205.36 (3%),78.00 (2%),77.65 (2%),125.30 (3%),95.15 (4%),,214.20 (7%)
BYD,76.35 (0%),68.79 (1%),,,33.53 (0%),9.85 (0%),57.87 (2%),21.12 (0%),23.07 (1%),,75.34 (3%)
Bosch,1.38 (0%),2.06 (0%),,4.03 (0%),0.70 (0%),,,0.70 (0%),,,
CES,193.98 (1%),174.72 (1%),,22.54 (2%),56.58 (1%),22.72 (1%),,49.28 (1%),39.65 (1%),,34.71 (1%)
CSOT,428.54 (3%),455.37 (4%),,,95.70 (1%),37.87 (1%),44.69 (1%),69.69 (1%),60.55 (2%),,110.05 (4%)
Corning,2.06 (0%),1.38 (0%),,,1.40 (0%),0.76 (0%),0.73 (0%),,,,
Counterpoint,4.82 (0%),4.82 (0%),0.92 (0%),13.69 (1%),2.10 (0%),3.03 (0%),1.47 (0%),2.11 (0%),,,
DELL,0.69 (0%),0.69 (0%),,,1.40 (0%),,,0.70 (0%),1.44 (0%),,
DSCC,4.13 (0%),5.50 (0%),,,1.40 (0%),,,1.41 (0%),0.72 (0%),,0.74 (0%)
Dell,55.03 (0%),61.22 (0%),,8.05 (1%),15.37 (0%),,13.19 (0%),19.01 (0%),12.25 (0%),,12.56 (0%)
ETRI,24.76 (0%),25.45 (0%),,3.22 (0%),6.29 (0%),,7.33 (0%),4.22 (0%),5.05 (0%),,2.95 (0%)
HMI,6.88 (0%),5.50 (0%),0.92 (0%),,3.49 (0%),0.76 (0%),,2.82 (0%),2.88 (0%),,2.22 (0%)
HP,114.87 (1%),128.63 (1%),,15.30 (1%),22.35 (0%),,22.71 (1%),30.97 (1%),22.35 (1%),,18.47 (1%)
Harman,23.39 (0%),19.26 (0%),,,13.97 (0%),5.30 (0%),4.40 (0%),11.26 (0%),1.44 (0%),,3.69 (0%)
IEC,34.39 (0%),33.71 (0%),9.23 (2%),6.44 (0%),12.57 (0%),9.09 (0%),,8.45 (0%),15.14 (1%),,
IEEE,4.82 (0%),4.82 (0%),1.85 (0%),,4.19 (0%),,1.47 (0%),2.11 (0%),2.16 (0%),,2.22 (0%)
IMID,49.53 (0%),53.65 (0%),,5.64 (0%),9.08 (0%),,7.33 (0%),4.93 (0%),7.21 (0%),,6.65 (0%)
ITU,59.84 (0%),47.46 (0%),1.85 (0%),8.86 (1%),16.76 (0%),7.57 (0%),4.40 (0%),11.26 (0%),,,
Innolux,24.76 (0%),22.01 (0%),,4.83 (0%),9.08 (0%),3.79 (0%),10.99 (0%),7.04 (0%),5.77 (0%),,
IoT,186.41 (1%),169.90 (1%),,,129.22 (2%),58.31 (2%),43.96 (1%),73.21 (2%),51.90 (2%),,48.75 (2%)
JDI,29.58 (0%),29.58 (0%),,,6.99 (0%),7.57 (0%),0.73 (0%),7.04 (0%),6.49 (0%),,3.69 (0%)
KAIST,41.96 (0%),35.77 (0%),,8.05 (1%),28.64 (0%),,16.12 (0%),17.60 (0%),12.25 (0%),,6.65 (0%)
LG디스플레이,1125.36 (7%),1159.75 (9%),,,276.61 (4%),129.50 (4%),148.72 (4%),219.63 (5%),161.47 (6%),,217.15 (7%)
LG전자,1042.81 (7%),1071.01 (8%),,154.57 (11%),508.51 (7%),265.82 (7%),273.26 (8%),343.53 (7%),,,210.50 (7%)
LG화학,153.40 (1%),114.19 (1%),,,103.38 (1%),,45.42 (1%),126.01 (3%),26.67 (1%),33.15 (6%),41.36 (1%)
MOTIE,0.69 (0%),0.69 (0%),,4.03 (0%),0.70 (0%),,,0.70 (0%),,,
MWC,11.69 (0%),8.25 (0%),,1.61 (0%),4.19 (0%),7.57 (0%),1.47 (0%),2.82 (0%),,,3.69 (0%)
Merck,3.44 (0%),3.44 (0%),0.92 (0%),5.64 (0%),,,0.73 (0%),0.70 (0%),0.72 (0%),,
SEMI,2.06 (0%),1.38 (0%),,,2.10 (0%),,,0.70 (0%),1.44 (0%),,0.74 (0%)
SID,105.24 (1%),107.31 (1%),,,6.29 (0%),0.76 (0%),1.47 (0%),19.71 (0%),25.95 (1%),,5.17 (0%)
SK하이닉스,385.21 (3%),238.69 (2%),,,314.33 (4%),78.00 (2%),80.58 (2%),228.08 (5%),77.85 (3%),,75.34 (3%)
Semiconductor,31.64 (0%),22.01 (0%),,,20.96 (0%),4.54 (0%),5.86 (0%),10.56 (0%),11.53 (0%),,5.17 (0%)
TCL,494.58 (3%),458.12 (4%),,63.60 (4%),145.29 (2%),,73.26 (2%),102.78 (2%),70.64 (3%),,128.52 (4%)
TSMC,96.99 (1%),52.97 (0%),,,92.20 (1%),14.39 (0%),24.91 (1%),42.24 (1%),23.07 (1%),,13.29 (0%)
Tianma,44.02 (0%),47.46 (0%),,9.66 (1%),9.08 (0%),4.54 (0%),6.59 (0%),6.34 (0%),,,11.08 (0%)
Toray,8.25 (0%),6.19 (0%),,3.22 (0%),4.89 (0%),3.79 (0%),4.40 (0%),,4.33 (0%),,2.22 (0%)
UDC,14.45 (0%),13.07 (0%),,0.81 (0%),2.79 (0%),0.76 (0%),1.47 (0%),,2.88 (0%),,2.22 (0%)
UL,74.29 (0%),61.22 (0%),,9.66 (1%),27.24 (0%),12.12 (0%),7.33 (0%),11.97 (0%),,,8.86 (0%)
V2X,68.79 (0%),51.59 (0%),,,37.02 (1%),9.85 (0%),5.86 (0%),26.05 (1%),6.49 (0%),,16.25 (1%)
Visionox,73.60 (0%),79.79 (1%),,4.83 (0%),22.35 (0%),6.06 (0%),,11.26 (0%),7.93 (0%),,17.73 (1%)
구글,317.11 (2%),228.37 (2%),,79.70 (6%),207.46 (3%),92.39 (3%),117.95 (3%),164.73 (4%),87.94 (3%),,
기아,146.33 (1%),114.71 (1%),,,112.01 (1%),38.05 (1%),144.88 (4%),47.41 (1%),39.30 (1%),,42.64 (1%)
기아자동차,10.32 (0%),8.94 (0%),,,9.08 (0%),3.03 (0%),9.52 (0%),8.45 (0%),5.77 (0%),,2.95 (0%)
기아차,2.06 (0%),1.38 (0%),,,1.40 (0%),0.76 (0%),4.40 (0%),0.70 (0%),,,0.74 (0%)
네이버,208.42 (1%),169.22 (1%),,,119.45 (2%),72.70 (2%),92.31 (3%),73.92 (2%),38.93 (1%),,29.54 (1%)
니오,0.69 (0%),0.69 (0%),,,,,0.73 (0%),,0.72 (0%),,
도우인시스,2.06 (0%),1.38 (0%),,,1.40 (0%),0.76 (0%),0.73 (0%),,,,
두산로보틱스,30.95 (0%),17.20 (0%),,,32.83 (0%),9.09 (0%),5.13 (0%),9.86 (0%),5.77 (0%),,13.29 (0%)
디지타임스,11.69 (0%),11.01 (0%),,,6.29 (0%),1.51 (0%),1.47 (0%),2.82 (0%),2.16 (0%),,2.95 (0%)
딥엑스,1.38 (0%),0.69 (0%),,0.81 (0%),1.40 (0%),,,0.70 (0%),0.72 (0%),,
레노버,24.08 (0%),25.45 (0%),,,5.59 (0%),3.03 (0%),6.59 (0%),4.22 (0%),5.05 (0%),,5.17 (0%)
리벨리온,11.01 (0%),8.25 (0%),,,3.49 (0%),4.54 (0%),4.40 (0%),4.22 (0%),1.44 (0%),1.14 (0%),
리오토,6.19 (0%),6.88 (0%),,,1.40 (0%),2.27 (0%),5.13 (0%),0.70 (0%),2.16 (0%),,2.22 (0%)
마이크로소프트,152.71 (1%),92.86 (1%),,,160.66 (2%),9.85 (0%),36.63 (1%),68.99 (1%),47.58 (2%),,18.47 (1%)
메타,200.86 (1%),135.51 (1%),,,157.86 (2%),31.81 (1%),47.62 (1%),81.66 (2%),56.95 (2%),,22.16 (1%)
미디어텍,24.08 (0%),16.51 (0%),,,15.37 (0%),7.57 (0%),3.66 (0%),6.34 (0%),3.60 (0%),,4.43 (0%)
바이두,9.63 (0%),6.88 (0%),,,6.99 (0%),1.51 (0%),1.47 (0%),3.52 (0%),4.33 (0%),,2.95 (0%)
벤츠,24.76 (0%),19.26 (0%),,,12.57 (0%),13.63 (0%),30.77 (1%),9.86 (0%),5.77 (0%),,4.43 (0%)
비보,45.40 (0%),48.15 (0%),,,11.18 (0%),21.20 (1%),4.40 (0%),6.34 (0%),5.05 (0%),,13.29 (0%)
삼성디스플레이,1289.76 (8%),1252.61 (10%),,,284.29 (4%),202.20 (6%),195.60 (5%),229.49 (5%),166.52 (6%),,231.18 (8%)
삼성전자,4515.78 (18%),3005.54 (14%),,,1896.29 (16%),2146.96 (36%),738.77 (12%),1328.12 (17%),630.65 (14%),,577.13 (12%)
샤오미,202.92 (1%),196.73 (2%),,,57.28 (1%),56.80 (2%),47.62 (1%),43.65 (1%),36.76 (1%),,58.35 (2%)
샤오펑,13.76 (0%),13.76 (0%),,,2.79 (0%),3.03 (0%),16.85 (0%),3.52 (0%),5.05 (0%),,5.91 (0%)
샤프,41.27 (0%),40.58 (0%),,,8.38 (0%),4.54 (0%),6.59 (0%),6.34 (0%),4.33 (0%),,11.08 (0%)
