org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,0,259.3270,0.0135,0.6619,259.3270
AMD,3,234.9769,0.0192,0.5997,234.9769
AMD,1,142.3891,0.0094,0.3634,142.3891
AMD,2,91.5047,0.0157,0.2336,91.5047
AMD,4,28.5025,0.0093,0.0727,28.5025
AMD,8,21.9351,0.0139,0.0560,21.9351
AMD,7,21.1227,0.0201,0.0539,21.1227
AMD,5,19.0473,0.0069,0.0486,19.0473
AMD,10,13.0557,0.0137,0.0333,13.0557
AMD,6,9.0225,0.0143,0.0230,9.0225
AMD,9,6.0766,0.0098,0.0155,6.0766
ASUS,0,68.7870,0.0036,0.6599,68.7870
ASUS,1,61.2204,0.0041,0.5873,61.2204
ASUS,3,44.3614,0.0036,0.4256,44.3614
ASUS,2,11.8747,0.0020,0.1139,11.8747
ASUS,7,11.3737,0.0108,0.1091,11.3737
ASUS,5,10.2562,0.0037,0.0984,10.2562
ASUS,4,5.3924,0.0018,0.0517,5.3924
ASUS,9,2.6043,0.0042,0.0250,2.6043
ASUS,8,2.4372,0.0015,0.0234,2.4372
ASUS,10,0.9326,0.0010,0.0089,0.9326
AUO,0,54.3417,0.0028,0.7113,54.3417
AUO,1,46.0873,0.0031,0.6033,46.0873
AUO,3,22.8739,0.0019,0.2994,22.8739
AUO,5,12.4540,0.0045,0.1630,12.4540
AUO,2,7.6836,0.0013,0.1006,7.6836
AUO,4,3.8517,0.0013,0.0504,3.8517
AUO,8,2.4372,0.0015,0.0319,2.4372
AUO,9,0.8681,0.0014,0.0114,0.8681
AUO,7,0.8124,0.0008,0.0106,0.8124
Acer,0,59.1568,0.0031,0.6640,59.1568
Acer,1,48.1509,0.0032,0.5405,48.1509
Acer,3,42.2820,0.0035,0.4746,42.2820
Acer,5,10.9888,0.0040,0.1233,10.9888
Acer,2,9.7791,0.0017,0.1098,9.7791
Acer,7,9.7489,0.0093,0.1094,9.7489
Acer,4,3.0813,0.0010,0.0346,3.0813
Acer,9,2.6043,0.0042,0.0292,2.6043
Acer,8,1.6248,0.0010,0.0182,1.6248
Acer,10,0.9326,0.0010,0.0105,0.9326
BMW,4,90.1294,0.0294,0.5484,90.1294
BMW,0,88.7352,0.0046,0.5399,88.7352
BMW,3,82.4845,0.0067,0.5019,82.4845
BMW,1,57.0932,0.0038,0.3474,57.0932
BMW,2,19.5583,0.0034,0.1190,19.5583
BMW,8,17.0606,0.0108,0.1038,17.0606
BMW,5,11.7214,0.0043,0.0713,11.7214
BMW,7,11.3737,0.0108,0.0692,11.3737
BMW,9,3.4724,0.0056,0.0211,3.4724
BMW,10,0.9326,0.0010,0.0057,0.9326
BOE,0,826.1320,0.0430,0.7248,826.1320
BOE,1,678.9278,0.0451,0.5956,678.9278
BOE,3,346.5736,0.0283,0.3041,346.5736
BOE,5,143.5874,0.0521,0.1260,143.5874
BOE,2,104.7764,0.0180,0.0919,104.7764
BOE,4,55.4643,0.0181,0.0487,55.4643
BOE,8,25.1847,0.0159,0.0221,25.1847
BOE,7,17.0606,0.0162,0.0150,17.0606
BOE,9,8.6809,0.0141,0.0076,8.6809
BOE,6,2.2556,0.0036,0.0020,2.2556
BOE,10,1.8651,0.0020,0.0016,1.8651
BYD,0,116.9379,0.0061,0.6127,116.9379
BYD,3,90.1091,0.0074,0.4722,90.1091
BYD,1,86.6716,0.0058,0.4541,86.6716
BYD,4,75.4930,0.0247,0.3956,75.4930
BYD,8,22.7475,0.0144,0.1192,22.7475
BYD,2,22.3523,0.0038,0.1171,22.3523
BYD,5,16.8495,0.0061,0.0883,16.8495
BYD,7,9.7489,0.0093,0.0511,9.7489
BYD,9,3.4724,0.0056,0.0182,3.4724
BYD,10,2.7977,0.0029,0.0147,2.7977
BYD,6,1.1278,0.0018,0.0059,1.1278
Bosch,1,2.0636,0.0001,0.7734,2.0636
Bosch,0,1.3757,0.0001,0.5156,1.3757
Bosch,2,0.6985,0.0001,0.2618,0.6985
Bosch,3,0.6931,0.0001,0.2598,0.6931
CES,0,251.0726,0.0131,0.6828,251.0726
CES,1,215.9912,0.0143,0.5874,215.9912
CES,3,135.1637,0.0110,0.3676,135.1637
CES,2,53.0867,0.0091,0.1444,53.0867
CES,5,43.9553,0.0160,0.1195,43.9553
CES,4,30.8135,0.0101,0.0838,30.8135
CES,7,29.2468,0.0278,0.0795,29.2468
CES,8,25.1847,0.0159,0.0685,25.1847
CES,9,6.0766,0.0098,0.0165,6.0766
CES,10,5.5953,0.0059,0.0152,5.5953
CSOT,0,473.9425,0.0247,0.7134,473.9425
CSOT,1,418.9129,0.0278,0.6306,418.9129
CSOT,3,172.5936,0.0141,0.2598,172.5936
CSOT,5,86.4455,0.0314,0.1301,86.4455
CSOT,2,51.6897,0.0089,0.0778,51.6897
CSOT,4,30.8135,0.0101,0.0464,30.8135
CSOT,8,12.1862,0.0077,0.0183,12.1862
CSOT,7,9.7489,0.0093,0.0147,9.7489
CSOT,9,7.8128,0.0127,0.0118,7.8128
CSOT,6,2.2556,0.0036,0.0034,2.2556
CSOT,10,1.8651,0.0020,0.0028,1.8651
Corning,0,6.1908,0.0003,0.7027,6.1908
Corning,1,4.8151,0.0003,0.5465,4.8151
Corning,3,3.4657,0.0003,0.3934,3.4657
Corning,5,1.4652,0.0005,0.1663,1.4652
Corning,2,1.3970,0.0002,0.1586,1.3970
Counterpoint,0,6.1908,0.0003,0.5808,6.1908
Counterpoint,1,5.5030,0.0004,0.5163,5.5030
Counterpoint,2,4.8896,0.0008,0.4588,4.8896
Counterpoint,3,4.1589,0.0003,0.3902,4.1589
Counterpoint,4,1.5407,0.0005,0.1446,1.5407
Counterpoint,9,0.8681,0.0014,0.0814,0.8681
Counterpoint,8,0.8124,0.0005,0.0762,0.8124
DELL,3,1.3863,0.0001,0.5946,1.3863
DELL,0,1.3757,0.0001,0.5901,1.3757
DELL,8,0.8124,0.0005,0.3485,0.8124
DELL,2,0.6985,0.0001,0.2996,0.6985
DELL,1,0.6879,0.0000,0.2950,0.6879
DSCC,1,4.8151,0.0003,0.6884,4.8151
DSCC,0,4.1272,0.0002,0.5900,4.1272
DSCC,3,2.7726,0.0002,0.3964,2.7726
DSCC,5,0.7326,0.0003,0.1047,0.7326
DSCC,2,0.6985,0.0001,0.0999,0.6985
Dell,0,69.4749,0.0036,0.6634,69.4749
Dell,1,57.0932,0.0038,0.5452,57.0932
Dell,3,48.5203,0.0040,0.4633,48.5203
Dell,2,16.0657,0.0028,0.1534,16.0657
Dell,5,10.9888,0.0040,0.1049,10.9888
Dell,7,9.7489,0.0093,0.0931,9.7489
Dell,4,6.1627,0.0020,0.0588,6.1627
Dell,9,2.6043,0.0042,0.0249,2.6043
Dell,8,2.4372,0.0015,0.0233,2.4372
Dell,10,0.9326,0.0010,0.0089,0.9326
ETRI,0,40.5843,0.0021,0.7084,40.5843
ETRI,1,27.5148,0.0018,0.4803,27.5148
ETRI,5,24.1754,0.0088,0.4220,24.1754
ETRI,3,16.6355,0.0014,0.2904,16.6355
ETRI,4,3.0813,0.0010,0.0538,3.0813
ETRI,7,1.6248,0.0015,0.0284,1.6248
ETRI,8,1.6248,0.0010,0.0284,1.6248
ETRI,10,0.9326,0.0010,0.0163,0.9326
ETRI,9,0.8681,0.0014,0.0152,0.8681
ETRI,2,0.6985,0.0001,0.0122,0.6985
HMI,0,8.9423,0.0005,0.6705,8.9423
HMI,3,8.3178,0.0007,0.6237,8.3178
HMI,1,4.8151,0.0003,0.3611,4.8151
HMI,5,1.4652,0.0005,0.1099,1.4652
HMI,2,1.3970,0.0002,0.1048,1.3970
HMI,9,0.8681,0.0014,0.0651,0.8681
HMI,8,0.8124,0.0005,0.0609,0.8124
HP,0,135.5104,0.0071,0.6740,135.5104
HP,1,118.3137,0.0079,0.5884,118.3137
HP,3,80.4051,0.0066,0.3999,80.4051
HP,5,26.3732,0.0096,0.1312,26.3732
HP,2,24.4478,0.0042,0.1216,24.4478
HP,7,16.2482,0.0154,0.0808,16.2482
HP,4,3.8517,0.0013,0.0192,3.8517
HP,9,3.4724,0.0056,0.0173,3.4724
HP,8,3.2496,0.0021,0.0162,3.2496
HP,10,1.8651,0.0020,0.0093,1.8651
HP,6,1.1278,0.0018,0.0056,1.1278
Harman,3,27.7259,0.0023,0.5950,27.7259
Harman,0,26.8269,0.0014,0.5757,26.8269
Harman,1,19.9482,0.0013,0.4281,19.9482
Harman,2,11.1761,0.0019,0.2398,11.1761
Harman,5,8.7911,0.0032,0.1887,8.7911
Harman,4,6.9330,0.0023,0.1488,6.9330
Harman,10,4.6628,0.0049,0.1001,4.6628
Harman,8,3.2496,0.0021,0.0697,3.2496
Harman,7,1.6248,0.0015,0.0349,1.6248
IEC,0,39.2086,0.0020,0.6007,39.2086
IEC,1,36.4571,0.0024,0.5586,36.4571
IEC,3,25.6464,0.0021,0.3929,25.6464
IEC,7,17.0606,0.0162,0.2614,17.0606
IEC,2,16.7642,0.0029,0.2568,16.7642
IEC,9,9.5490,0.0155,0.1463,9.5490
IEC,5,5.8607,0.0021,0.0898,5.8607
IEC,8,4.8745,0.0031,0.0747,4.8745
IEC,10,2.7977,0.0029,0.0429,2.7977
IEC,4,2.3110,0.0008,0.0354,2.3110
IEC,6,1.1278,0.0018,0.0173,1.1278
IEEE,0,6.1908,0.0003,0.6084,6.1908
IEEE,3,5.5452,0.0005,0.5449,5.5452
IEEE,1,4.8151,0.0003,0.4732,4.8151
IEEE,2,2.0955,0.0004,0.2059,2.0955
IEEE,9,1.7362,0.0028,0.1706,1.7362
IEEE,8,1.6248,0.0010,0.1597,1.6248
IEEE,7,0.8124,0.0008,0.0798,0.8124
IEEE,4,0.7703,0.0003,0.0757,0.7703
IMID,0,55.0296,0.0029,0.6512,55.0296
IMID,1,48.1509,0.0032,0.5698,48.1509
IMID,5,38.8272,0.0141,0.4595,38.8272
IMID,3,15.2492,0.0012,0.1804,15.2492
IMID,2,6.9851,0.0012,0.0827,6.9851
IMID,7,1.6248,0.0015,0.0192,1.6248
IMID,4,1.5407,0.0005,0.0182,1.5407
IMID,9,0.8681,0.0014,0.0103,0.8681
ITU,1,54.3417,0.0036,0.6779,54.3417
ITU,0,52.2781,0.0027,0.6522,52.2781
ITU,3,18.7150,0.0015,0.2335,18.7150
ITU,2,17.4627,0.0030,0.2178,17.4627
ITU,5,8.7911,0.0032,0.1097,8.7911
ITU,9,1.7362,0.0028,0.0217,1.7362
ITU,4,1.5407,0.0005,0.0192,1.5407
ITU,6,1.1278,0.0018,0.0141,1.1278
ITU,7,0.8124,0.0008,0.0101,0.8124
