org,topic_0,topic_1,topic_10,topic_100,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_3,topic_30,topic_31,topic_32,topic_33,topic_34,topic_36,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_53,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_7,topic_70,topic_72,topic_73,topic_74,topic_75,topic_77,topic_78,topic_79,topic_8,topic_81,topic_82,topic_83,topic_84,topic_85,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96
AMD,209.33 (1%),,175.96 (2%),,,,,,168.58 (3%),,157.54 (3%),,,,,,,128.02 (1%),,,,,,,,,,,,,,282.27 (11%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.78 (3%),178.05 (2%),,,,,,,,,,,,,
ASUS,76.25 (0%),,,,,,,,,66.54 (5%),,62.29 (2%),,,,,,,,,,,,,,,,40.27 (1%),,,,,,,,,,,,,,,,,,,,,47.49 (1%),,,,,,,,47.11 (1%),,,,45.67 (0%),,,,,,,,,,,,,,,,,,,80.87 (1%),,
AUO,52.68 (0%),,30.72 (0%),,,,,,,,,,,,,,,,,,36.97 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.55 (0%),,,,,,,,,42.77 (0%),,,,,,,,,38.85 (0%),,,,,,,,28.56 (0%),,,,29.87 (0%)
Acer,57.53 (0%),,30.72 (0%),,,,,,,,,52.17 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.17 (0%),,,,,,,,,31.17 (0%),,,,,,,,,30.93 (0%),,,,,,,,31.42 (0%),,62.32 (1%),,
BMW,78.33 (0%),,74.71 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.63 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,57.99 (1%),,,,,76.60 (2%),,,57.95 (1%),59.71 (1%),,,,,75.97 (1%),,,,,,,
BOE,916.34 (5%),,,,,,,,,,,,,,,,,,,,,,,,,,537.40 (7%),,,,,,,558.75 (8%),,,,,,,,,,,,,,,551.53 (8%),,,,,,,,,,,,766.94 (7%),594.29 (7%),,,,,,,,734.50 (7%),,,,,,,,,,,,556.89 (7%)
BYD,123.38 (1%),,67.73 (1%),,,,,,,,,,,,,,,,,,61.62 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.14 (1%),,,,,,,,,108.63 (1%),,,,,75.97 (1%),,,74.97 (1%),89.77 (2%),,,
Bosch,,1.62 (0%),,,,,,,,,,,2.16 (0%),2.13 (0%),,,,,,,2.17 (0%),,,,,,,,,,,,,,,,,,7.26 (1%),,,,,,,,,2.16 (0%),,,,,,,3.54 (0%),,,,,,,,,,,,,,2.09 (0%),,,,,,,,,,,,,
CES,192.69 (1%),,150.82 (1%),,,,,,,,,,,,237.40 (6%),,,120.28 (1%),,,132.66 (1%),,,,,,,,,,,,,,,,,,,206.98 (8%),,,,,,,,,,,,,,,,,,,,,,123.16 (1%),,,,,,,,,,,,,,,,,,,,140.95 (2%)
CSOT,540.65 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,320.23 (4%),,,,,,,,,,,,,,,,,,,,,,319.43 (5%),,,,,,,,,,,,493.65 (4%),359.84 (4%),,,,,,,,469.77 (4%),,,,,,,,,,305.68 (5%),,363.09 (5%)
