org,topic_0,topic_1,topic_10,topic_100,topic_102,topic_103,topic_11,topic_12,topic_13,topic_14,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_5,topic_51,topic_52,topic_53,topic_54,topic_56,topic_57,topic_59,topic_6,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_68,topic_69,topic_7,topic_70,topic_71,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_98,topic_99
AMD,232.90 (1%),,179.45 (2%),,,,164.90 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.42 (3%),,,,,,,,,,145.93 (2%),,,,,,,,,130.48 (3%),,,,,,,,,,147.71 (2%),,,286.71 (13%),,,,,,,,,,,,,,,,,
ASUS,79.02 (0%),,,,,,,,,,,,68.47 (6%),,,,62.29 (1%),,,,39.80 (0%),,,,,,,,58.72 (0%),,,,,,,,,,,,,,,,,,,,,48.61 (1%),,,,,,47.11 (1%),,,,,,,,,,,,,,,,,,,,44.22 (0%),,,,,,,,,,,
AUO,49.21 (0%),,30.72 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,46.39 (0%),,,,,,,,,,,,,,,,,,29.27 (0%),,,,,,,,,,,,,,,,,,,30.68 (0%),,,30.45 (0%),,,,,,,33.35 (0%),32.62 (0%),,,,,,,,,,
Acer,59.61 (0%),,30.72 (0%),,,,,,,,,,,,,,52.17 (1%),,,,,,,,,,,38.42 (1%),40.59 (0%),,,,,,,,,,,,,,,,,,32.84 (0%),,,,,,,,,,,,,,,,31.17 (0%),,,,,,,,,,,,31.42 (0%),,,,,,,,,,,,
BMW,85.26 (0%),,75.41 (1%),,75.53 (2%),,,,,,,,,,,,,,,,,,,,,,,66.69 (1%),59.44 (0%),,,,,,,,,,,,,,,,,,63.54 (1%),,,,,,,,,,,,,125.37 (5%),,,,,,,,,,,,,,,,,,75.97 (1%),,,,,,,,,
BOE,916.34 (5%),,,,,,,,,623.67 (7%),,,,,,,,,,,,,,,,,,,933.67 (7%),,,,,,,,,,,,,,,,,,674.71 (6%),,,,,,,,,556.96 (8%),,,,,,,,,,609.22 (8%),,,,,,,,,,532.07 (6%),547.30 (7%),,,,,,,,,,
BYD,118.53 (1%),,67.73 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,102.94 (1%),,,,,,,,,,,,,,,,,,107.81 (1%),,,,,,,,,,,,,66.97 (2%),,,,,,,,,,,,,,,69.26 (1%),,,75.97 (1%),89.77 (2%),,,,,,,,
Bosch,,1.61 (0%),,,,,,,,,,2.16 (0%),,,,2.13 (0%),,,,,,,,,,,,,,,,,,,,7.26 (1%),,,,,,2.16 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,2.90 (0%),,,,,,,,,,,1.60 (0%),,,,,,2.86 (0%),
CES,205.17 (1%),,154.31 (1%),,,,,,,,,,,,,,,,234.52 (6%),,122.19 (1%),,,,,,,,123.96 (1%),,,,,,,,,,208.59 (8%),,,,,,,,124.23 (1%),,,,,,,,,,,,,,,,,,,121.26 (2%),,,,,,,,,,,,,,,,,,,,,
CSOT,537.88 (3%),,,,,,,,,372.41 (4%),,,,,,,,,,,,,,,,,,,579.19 (4%),,,,,,,,,,,,,,,,,,434.10 (4%),,,,,,,,,316.85 (5%),,,,,,,,,,411.26 (5%),,,,,,,,,,364.62 (4%),357.37 (4%),,,,,,,,,,
Corning,6.93 (0%),,6.98 (0%),,,,,,,,,,,,,,,,,,2.79 (0%),,,,,,,,4.35 (0%),,,,,,,,,,,,,,,,,,3.57 (0%),,,,,,,,,3.04 (0%),,,,,,,,,,,2.81 (0%),,,,,,,,,,,2.81 (0%),,,,,,,,,
Counterpoint,6.93 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99 (0%),,,3.99 (0%),,,21.78 (3%),,,,,,,,,,,,,3.54 (0%),,,,,5.32 (0%),,,,,,,3.22 (0%),,,,,,,,3.62 (0%),,,,,,,,,,,,,,,,,,
Cybersecurity,1.39 (0%),,,,,,,0.75 (0%),,,,,,,,,,,,,,,,,,0.83 (0%),,,,,,0.82 (0%),,,,,,,,,,,,,,,,1.40 (0%),,,0.82 (0%),,,0.76 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79 (0%),,
DELL,4.85 (0%),,5.59 (0%),,,,,,,,,6.47 (0%),,,4.22 (0%),,,,,,4.19 (0%),6.47 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63 (0%),,,,,,,,,,,4.22 (0%),,,,,,,,,
DSCC,4.16 (0%),,,,,,,,,5.23 (0%),,,,,,,,,,,,,,,,,4.52 (0%),,4.35 (0%),,,,,,,,,,,,,,,,,,3.57 (0%),,,,,,,,,,,,,,,,,,,5.84 (0%),,,,,,,,,,4.35 (0%),3.62 (0%),,,,,,,,,,
Dell,104.67 (1%),,,,,,,,,,,,48.21 (4%),,,,56.84 (1%),,,,,,,,,,,,76.11 (1%),,,,,,,,,,,,127.01 (7%),,,,,,52.12 (0%),,,,,,,,,51.67 (1%),,,,,,,,,,,,,,,,,,,,44.22 (0%),,,,,,,,,,,
ETRI,42.98 (0%),,51.67 (0%),,,,,,,,,,,,42.91 (1%),,,,,30.42 (1%),33.52 (0%),,,,,,,,24.65 (0%),,,,,,,,,,,,,,,,,,26.42 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84 (0%),,,,,,,,,,,,
HMI,7.62 (0%),,4.89 (0%),,,,,,,4.49 (0%),,,,,,,,,,,,,5.07 (0%),,,,,,7.25 (0%),,,,,,,,,,,,,,,,,,5.71 (0%),,,,,,,,,5.32 (0%),,,,4.67 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,155.26 (1%),,,,,,,,,,,,,,,,141.72 (3%),,,,,,,,,,,91.34 (2%),113.81 (1%),,,,,,,,,,,,,,,,,,89.96 (1%),,,93.48 (3%),,,,,,96.50 (1%),,,,,,,76.11 (1%),,,,,,,,,,,,,,,,,,,,,,,,
Harman,27.03 (0%),,23.04 (0%),,,,36.81 (1%),,,22.43 (0%),,,,,,,,,,,26.53 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.76 (2%),,,,,17.59 (0%),,,,,,,,,17.91 (4%)
IEC,38.12 (0%),,29.33 (0%),,,,,,,,,25.90 (1%),,,,43.94 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,31.65 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,29.72 (0%),,,,,,26.42 (0%),,,,,,,,,,,47.12 (1%),
IEEE,7.62 (0%),,6.28 (0%),,,,,,,,,5.76 (0%),,,,5.67 (0%),,,,,5.59 (0%),,,,,,,4.35 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63 (0%),,,,,,,,5.00 (0%),,,,,,,,,,,,
IMID,58.22 (0%),,34.21 (0%),,,,,,,30.66 (0%),,,,,,,,,,38.58 (1%),,,,,,,,,45.67 (0%),,,,,,,,,,,,,,,,,,35.70 (0%),,,,,,,,,,,,,,,,44.94 (1%),,,,,,,,,,,,28.56 (0%),,,,,,,,,,,,
ITU,30.50 (0%),,19.55 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.44 (1%),,,,,,,,,,,,,,,,,,,,,,,,,16.88 (0%),,39.14 (0%),,,,,,,,18.85 (0%),,,23.96 (1%),,,,,,19.99 (0%),
Innolux,37.43 (0%),,27.23 (0%),,,,,,,,,,,,20.40 (0%),,,,,,27.93 (0%),,,,,,,,35.52 (0%),,,,,,,,,,,,,,,,,,28.56 (0%),,,,,,,,,,,,,,,,,,,,,,22.47 (0%),,,,,,,,21.75 (0%),,,,,,,,,,
IoT,224.58 (1%),,209.47 (2%),,,,,,,,,,,,151.23 (2%),175.04 (4%),,,,,154.31 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.60 (2%),,,,,,,,,175.85 (2%),,,,,,,,193.49 (4%),
JDI,47.13 (0%),,,24.87 (0%),,,,,,53.84 (1%),,,,,,,,,,,,,,,,,,,44.22 (0%),,,,,,,,,,,,,,,,,,29.99 (0%),,,,,,,,,31.15 (0%),,,,,,,,,,41.64 (1%),,,,,,,,,,,36.24 (0%),,,,,,,,,,
KAIST,69.31 (0%),,78.90 (1%),,,,,,,,,51.80 (1%),,,59.79 (1%),,,,,,53.76 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.31 (1%),,,,,,,,37.13 (0%),,,57.68 (1%),,,,,,,,,
LG디스플레이,1351.64 (7%),,,,,,,,,1454.48 (16%),,,,,,,,,,,,,,,,,927.89 (17%),,1280.89 (10%),,,,,,,,,,,,,,,,,,958.16 (9%),,,,,,,,,763.64 (11%),,,,,,,,,,1288.58 (16%),,,,,,,,,,,933.67 (11%),,,,,,,,,,
LG전자,1033.48 (6%),1245.89 (31%),,,1122.46 (23%),,,,,,,,,,,,,,,,,,,,,,,,759.69 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.72 (11%),,,,,,,995.28 (11%),,,,,,,,731.46 (31%),999.52 (21%),,
LG화학,177.45 (1%),,217.85 (2%),,,,,,,,,,,,135.05 (2%),,,,,,160.59 (2%),,,,,,,,134.11 (1%),,,,,,,,248.68 (7%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.08 (2%),,,203.28 (3%),,,,,,,,,
MOTIE,,,,,,,,0.75 (0%),,,,0.72 (0%),,,,,,,,,,,,,0.72 (0%),,,,,,,,,,,3.63 (1%),,,,,,0.72 (0%),,,,,,,,,0.82 (0%),,,,,,0.72 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71 (0%),
MWC,13.17 (0%),,,,,6.52 (0%),,,,,,,,,,,,6.50 (0%),,,6.98 (0%),,,,,,,,7.25 (0%),7.19 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57 (0%),,,,,,,,,,,,,,,,,,,,6.43 (0%),
Merck,4.85 (0%),,,,,,,,2.90 (0%),,,,,,,,,,,3.71 (0%),,,,,,,,,3.62 (0%),,,,,,,9.07 (1%),,,,,,,,,,,3.57 (0%),,,,,,,,,,,,,,,,2.90 (0%),,,,,,,,,,,,,,,,,,,4.52 (0%),,,,,
Metaverse,,,,,,,,,,,,,,0.87 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79 (0%),,,,,0.70 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSTECH,,,,,,,,,,,,,,,,,,,,,,,,,,4.96 (0%),,6.52 (0%),,,,,,,,,,,4.03 (0%),12.34 (1%),,,,,,,,,,,,,,,,,,,,3.89 (0%),4.03 (0%),,,,,,4.92 (0%),,,4.54 (0%),,,,,,,,,,,,,,,,,
SEMI,2.08 (0%),,2.09 (0%),,,,1.47 (0%),,,,,,,,,,,,,,,2.16 (0%),,,,,,,,,,,,,,,,,,,,,,,,1.50 (0%),,,,,,,2.19 (0%),,,,,,,,,,,,,,2.81 (0%),,,,,,,,2.14 (0%),,,,,,,,,,,,
SFA,,,2.79 (0%),,,,,,4.35 (0%),,,,,,1.41 (0%),,,,,,2.79 (0%),,2.17 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52 (0%),,,,,,,,,1.45 (0%),,,,,,,,,,,,,,,1.41 (0%),,,,,,,,,
SID,110.90 (1%),,97.75 (1%),,,,,,,126.38 (1%),,,,,,,,,207.91 (5%),,,,,,,,,,84.09 (1%),,,,,,,,,,204.56 (8%),,,,,,,,,,,,,,,,,,,,,,,,,,,125.64 (2%),,,,,,,,,,,75.39 (1%),,,,,,,,,,
SK하이닉스,409.65 (2%),,481.08 (4%),,,,463.78 (8%),,,,,,,,318.64 (5%),,,,,,377.05 (4%),,,,,,,,,,,,,,,,,286.41 (5%),,,,,,,,293.89 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.94 (5%),,,,,,,,,
