org,topic_0,topic_1,topic_101,topic_102,topic_11,topic_12,topic_13,topic_14,topic_17,topic_18,topic_19,topic_2,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_32,topic_33,topic_35,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_49,topic_5,topic_50,topic_51,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_61,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_7,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_88,topic_89,topic_9,topic_90,topic_92,topic_93,topic_94,topic_96,topic_97,topic_98,topic_99
AMD,323.01 (2%),,,,185.03 (2%),177.69 (2%),,,,,,,,,,,167.11 (3%),,127.08 (2%),,,,,,,,,,178.23 (2%),,,,,,,,,,,,,,,131.21 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,293.06 (13%),,,,,,,,,,,,,,,
ASUS,70.01 (0%),55.69 (0%),,,37.70 (0%),,,,63.07 (1%),,69.43 (5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.98 (1%),,,,,,,,,,,,,,,,,,,48.97 (1%),,,39.14 (1%),,,,,,,,,,,,,,,,,,,,,,,,
AUO,54.76 (0%),53.55 (0%),,,34.21 (0%),,,,,,,,,,,,,,,,,40.29 (0%),,,,,,,,,,,,,,,,,,25.63 (0%),,,,,,,,,,,,,,,25.90 (0%),26.03 (0%),,,,,,29.72 (0%),,,,,,,,,,,,,,,,,,,,,,,,
Acer,52.68 (0%),40.70 (0%),,,30.72 (0%),,,,52.43 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.15 (0%),,,,,,,,,,,,,,,,30.25 (0%),,,,,,31.17 (0%),,29.63 (1%),,,,,,,,,,,,,,,,,,,,,,
BMW,99.81 (0%),64.26 (0%),,,81.69 (1%),,,,,,,,,,,,,,66.33 (1%),,,,,,,,,,,,,,,,,,64.52 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.95 (3%),,,,,,,,84.41 (1%),,,,,77.77 (2%),,,
BOE,858.12 (4%),1006.71 (7%),,,417.55 (3%),,,,,,,,,,,,,,,,,,,,,,546.74 (7%),,,,,,,,,413.26 (8%),,,,614.32 (8%),,,,,,,,,,,,,,,612.21 (7%),,,,,,,442.91 (6%),,,,,,,,,,,,,,,,,,,,,,,,
BYD,116.45 (1%),105.67 (1%),,,69.13 (1%),,,,,,,,,,,,,,63.54 (1%),,,62.59 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.01 (2%),,,,,,,,76.67 (1%),,89.08 (2%),,,,,,
Bosch,2.08 (0%),,,,,,,,,,,1.60 (0%),2.16 (0%),2.13 (0%),,,,,,,,2.16 (0%),,,,,,,,,,,,,,,,,,,,,,,7.26 (1%),,,,2.16 (0%),,,,,,,,,,,,,,,,,3.52 (0%),,,,,,,,,,,,,,,,,,,,
CES,222.50 (1%),147.08 (1%),,,158.50 (1%),,,,,,,,,,,,,,,,,137.40 (1%),,,239.90 (6%),,,,,,,,,,,,,,,,,,207.45 (8%),,,,,,,,,,,,143.88 (2%),,,,,,,,,,,128.72 (2%),,,,,,,,,,,,,,,,,,,,
CSOT,460.25 (2%),579.75 (4%),,,,,240.67 (4%),,,,,,,,,,,,,,,271.21 (3%),,,,,316.53 (4%),,,,,,,,,,,,,337.69 (4%),,,,,,,,,,,,,,,368.33 (4%),,,,,,,279.08 (4%),,,,,,,,,,,,,,,,,,,,,,,,
