topic_id,topic_name,momentum_score
2,LG 시니어 이지 TV,2.097
3,마이크로 LED TV 경쟁,2.097
89,Topic #89,2.097
11,반도체 장비 주가 주목,0.823
67,Topic #67,0.823
72,Topic #72,0.823
95,Topic #95,0.823
13,OLED 검사장비 양산,0.823
0,기술 패권 경쟁 심화,0.784
28,Topic #28,0.71
60,Topic #60,0.622
1,OLED 디스플레이 경쟁,0.299
10,Topic #10,0.172
16,Topic #16,0.172
14,갤럭시 XR 안드로이드,0.107
63,Topic #63,0.0
73,Topic #73,0.0
99,Topic #99,0.0
71,Topic #71,0.0
70,Topic #70,0.0
69,Topic #69,0.0
68,Topic #68,0.0
100,Topic #100,0.0
94,Topic #94,0.0
62,Topic #62,0.0
74,Topic #74,0.0
101,Topic #101,0.0
59,Topic #59,0.0
58,Topic #58,0.0
56,Topic #56,0.0
55,Topic #55,0.0
54,Topic #54,0.0
61,Topic #61,0.0
76,Topic #76,0.0
75,Topic #75,0.0
77,Topic #77,0.0
93,Topic #93,0.0
92,Topic #92,0.0
91,Topic #91,0.0
90,Topic #90,0.0
96,Topic #96,0.0
88,Topic #88,0.0
87,Topic #87,0.0
86,Topic #86,0.0
84,Topic #84,0.0
83,Topic #83,0.0
53,Topic #53,0.0
81,Topic #81,0.0
98,Topic #98,0.0
79,Topic #79,0.0
78,Topic #78,0.0
82,Topic #82,0.0
51,Topic #51,0.0
52,Topic #52,0.0
20,Topic #20,0.0
32,Topic #32,0.0
29,Topic #29,0.0
27,Topic #27,0.0
25,Topic #25,0.0
24,Topic #24,0.0
23,Topic #23,0.0
22,Topic #22,0.0
21,IFA 비스포크 AI,0.0
18,Topic #18,0.0
34,Topic #34,0.0
15,비스포크 AI 제트,0.0
12,삼성전자 3분기 실적,0.0
9,반도체 로봇 소재 부품,0.0
8,전기 SUV 경쟁,0.0
7,엔씨 OLED 게이밍,0.0
6,마이크로 RGB TV,0.0
5,삼성디스플레이 기술 유출,0.0
4,토요타-삼성 사이니지,0.0
33,Topic #33,0.0
30,Topic #30,0.0
102,Topic #102,0.0
42,Topic #42,0.0
49,Topic #49,0.0
37,Topic #37,0.0
48,Topic #48,0.0
38,Topic #38,0.0
47,Topic #47,0.0
39,Topic #39,0.0
40,Topic #40,0.0
46,Topic #46,0.0
45,Topic #45,0.0
44,Topic #44,0.0
43,Topic #43,0.0
36,Topic #36,-0.017
31,Topic #31,-0.025
64,Topic #64,-0.049
57,Topic #57,-0.074
66,Topic #66,-0.224
41,Topic #41,-0.224
97,Topic #97,-0.27
26,Topic #26,-0.27
50,Topic #50,-0.276
85,Topic #85,-0.333
35,Topic #35,-0.471
65,Topic #65,-0.672
80,Topic #80,-0.69
17,Topic #17,-0.698
19,Topic #19,-1.171
