org,topic_0,topic_1,topic_10,topic_100,topic_101,topic_102,topic_103,topic_104,topic_109,topic_11,topic_110,topic_111,topic_112,topic_113,topic_114,topic_118,topic_12,topic_122,topic_123,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_2,topic_20,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_35,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_43,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_54,topic_55,topic_56,topic_57,topic_58,topic_61,topic_62,topic_68,topic_69,topic_70,topic_72,topic_73,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_83,topic_84,topic_87,topic_89,topic_9,topic_91,topic_95,topic_99
AMD,367.54 (1%),,,,,219.37 (3%),,,,,,,,,,,218.34 (1%),,,,,,,,,,,,,,244.33 (3%),,,,,,,453.99 (15%),,,,,,,,,,,,,,,,,245.72 (2%),,,,,,,,,,,,,,,,,,,,,,,249.91 (3%),,,,215.73 (2%),,,
ASUS,169.32 (1%),,,,,75.23 (1%),,,,99.04 (4%),,,129.37 (2%),,,,80.41 (1%),,,100.08 (6%),,,,,,,,,,,,,,,,,,122.26 (4%),,,,,,,,,,,,,,,,,115.63 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUO,64.70 (0%),50.65 (0%),,,,,,,,,,,,,,34.02 (0%),36.74 (0%),,34.28 (0%),,,,,,,33.30 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28 (0%),,,,,,,,,,,,,,,,,,,,,,32.82 (0%),,,,,,,,
Acer,104.62 (0%),49.22 (0%),,,,,,,,,,,90.00 (2%),,,,45.75 (0%),,,,40.90 (0%),53.04 (1%),,,,,,,,,,,,,,,,42.25 (1%),,,,,,,,,,,,,,,,,52.31 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,177.58 (1%),,114.49 (1%),,80.73 (1%),,,,,,,,,,,,110.90 (1%),,,,,,,,,,,,,,,138.91 (5%),,,,,,,,,,,,,,,,,,,,,,,106.00 (1%),,,91.94 (2%),,,,,,,,,147.68 (2%),,,,,,,,,,,,,,,,,,
BOE,996.63 (4%),1031.50 (7%),,,,,,,,,,,,,,641.39 (6%),,,675.36 (7%),,,,,,,,,,,,,,,656.79 (5%),,,,,,,,,562.31 (6%),,,,,,,,,,,,,,,,638.30 (8%),545.30 (4%),,,,,,,,,,,,,,,,,,,,,,,,,
BYD,183.08 (1%),116.28 (1%),104.01 (1%),,,,,,,,,,,95.50 (2%),,,99.12 (1%),,,,,,,,,,,,,,,133.16 (5%),,,,,,,,,,,,,,,,,,,,,,,102.55 (1%),,,,,,,,,,,,104.24 (1%),,,,,,,,,,,,,,,,,,
Bosch,,,,,,,,,,,1.55 (0%),,,,,,,,,,2.77 (0%),,,,,2.17 (0%),,,,,,,,,,2.09 (0%),,,,,,,,7.19 (1%),,1.58 (0%),,,,,,,,,2.75 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,2.75 (0%),,,,
CES,322.12 (1%),154.08 (1%),,,,,,,,,,,,,,,179.53 (1%),,,,,,,,,,,,,,,,,,,,,,204.82 (8%),,,,,,,,,,,,,,,,174.14 (1%),,,,,,,,,,,,154.19 (2%),,,,,183.55 (7%),,,,,,,,,148.67 (2%),,,,
CSOT,511.39 (2%),567.83 (4%),,,,,,,,,,,,,,356.17 (3%),,,428.84 (4%),,,,,,,,,,,,,,,371.51 (3%),,,,,,,,,309.96 (3%),,,,,,,,,,,,,,,,336.82 (4%),319.39 (3%),,,,,,,,,,,,,,,,,,,,,,,,,
Continental,4.82 (0%),,4.89 (0%),,,,,,,,,,,,,,,,5.11 (0%),,,,,,,,,5.11 (0%),,,,,,5.03 (0%),5.75 (0%),,,,,,,,5.83 (0%),,,,,,,,,,,,,,,,,4.96 (0%),,,,,,,,,,,,,,,,,,,,,,,,,
Corning,6.88 (0%),3.57 (0%),,,,,,,,,,,,,,,6.93 (0%),,,,3.47 (0%),,2.83 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81 (0%),,,3.76 (0%),,,,,,,,2.90 (0%),,,,,,,,,,,,,,,,,,
Counterpoint,6.19 (0%),,,3.49 (0%),,,,,,,,,,,,,,,,,,,,,,2.90 (0%),5.30 (0%),,,,,,,,,,,,,,,3.94 (0%),,21.58 (3%),5.18 (0%),,,,,,2.87 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity,2.75 (0%),,,,,1.41 (0%),,,,,,,1.41 (0%),,1.46 (0%),,,,,,2.77 (0%),,,,,,,,,,,,,,,,,,,,1.42 (0%),,,,,,,,,,,,,2.08 (0%),3.44 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
