semantic_key,monthly_avg_sentiment
Apple_Display_Topic,0.5100
Automotive_Display_Topic,0.4944
Display_Materials_Topic,0.4927
Equipment_Maker,0.4807
Flexible_Display_Topic,0.4962
Foldable_Display_Topic,0.5020
Gaming_Monitor_Topic,0.5201
IT_OLED_Topic,0.4683
MicroLED_Topic,0.5018
OLED_Topic,0.4628
Panel_Manufacturer,0.4977
Platform_Company,0.4838
Quantum_Dot_Topic,0.4881
Set_Manufacturer,0.5017
Smartphone_Display_Topic,0.5018
TV_Display_Topic,0.4958
Transparent_Display_Topic,0.5296
XR_Device_Topic,0.4844
