term,cur,prev,diff,total,ma7,z_like
삼성전자,24,20,4,432,13.429,2.266
모니터,14,3,11,99,6.571,2.085
갤럭시,14,34,-20,185,17.857,-0.738
디스플레이,10,14,-4,255,11.0,-0.232
tv,10,20,-10,314,12.571,-0.566
oled,10,45,-35,288,16.143,-1.224
lg디스플레이,7,27,-20,133,6.143,0.246
스마트폰,6,6,0,73,3.714,0.781
애플,6,6,0,173,5.0,0.309
구글,5,5,0,61,2.429,1.005
lg전자,5,5,0,259,9.143,-1.03
벤큐,3,0,3,8,0.429,1.554
dell,3,0,3,4,0.429,1.554
폴더블,3,2,1,50,0.857,1.113
노트북,3,2,1,101,5.0,-0.618
엔비디아,3,9,-6,108,9.143,-1.527
ppi,2,0,2,3,0.286,1.117
화웨이,2,0,2,3,0.286,1.117
카카오,2,1,1,44,0.429,0.95
nvidia,2,0,2,7,0.571,0.814
asus,2,1,1,11,0.714,0.697
고성능,2,1,1,15,0.857,0.593
xr,2,2,0,73,3.0,-0.366
hp,2,2,0,50,3.286,-0.457
한화솔루션,1,0,1,12,0.143,0.622
ul,1,0,1,6,0.143,0.622
하이센스,1,0,1,11,0.286,0.465
sharp,1,0,1,9,0.286,0.465
샤오미,1,0,1,6,0.429,0.345
한미반도체,1,3,-2,26,0.571,0.244
맥북,1,0,1,24,0.714,0.155
퀄컴,1,1,0,14,0.857,0.074
lcd,1,2,-1,62,1.0,0.0
boe,1,1,0,43,1.286,-0.134
아이폰,1,2,-1,58,1.714,-0.309
레노버,1,5,-4,21,2.0,-0.414
모바일,1,2,-1,35,2.143,-0.464
선익시스템,1,8,-7,51,3.286,-0.813
