term,cur,prev,diff,ma7,z_like,total
엔비디아,19,0,19,3.714,5.222,98
애플,18,8,10,8.571,2.401,302
벤큐,3,0,3,0.429,1.554,13
아이패드,3,0,3,0.429,1.554,21
잉크젯,3,0,3,0.429,1.554,6
lg전자,10,5,5,5.714,1.264,238
마이크로소프트,2,0,2,0.286,1.117,2
화웨이,2,0,2,0.429,0.95,6
tsmc,2,1,1,0.429,0.95,17
아마존,2,1,1,0.429,0.95,8
ar,4,0,4,1.857,0.907,43
메타,4,4,0,1.857,0.907,31
boe,2,0,2,0.714,0.697,19
소니,2,0,2,0.714,0.697,9
galaxy,1,0,1,0.143,0.622,4
롤러블,1,0,1,0.143,0.622,3
벤츠,1,0,1,0.143,0.622,5
하이센스,1,0,1,0.143,0.622,8
모니터,4,2,2,2.429,0.614,90
카카오,1,0,1,0.286,0.465,14
필립스,1,0,1,0.286,0.465,2
현대모비스,1,0,1,0.286,0.465,8
sharp,1,0,1,0.571,0.244,25
nvidia,1,0,1,0.714,0.155,6
인텔,1,0,1,0.714,0.155,31
노트북,2,5,-3,1.714,0.124,102
아이폰,1,0,1,1.143,-0.069,78
레노버,2,0,2,2.286,-0.114,39
기아,1,0,1,1.286,-0.134,41
스마트폰,2,4,-2,2.429,-0.168,106
tv,3,1,2,3.571,-0.198,124
hp,1,0,1,1.571,-0.254,42
퀄컴,1,0,1,1.571,-0.254,27
xr,2,2,0,2.714,-0.27,92
sk하이닉스,2,5,-3,3.0,-0.366,123
amd,1,0,1,2.429,-0.558,28
구글,1,1,0,2.857,-0.69,53
폴더블,6,3,3,11.429,-1.239,229
삼성전자,5,12,-7,11.571,-1.493,356
lg디스플레이,4,13,-9,10.714,-1.571,128
갤럭시,6,7,-1,16.571,-2.085,242
oled,9,12,-3,22.0,-2.285,353
디스플레이,5,7,-2,16.714,-2.302,319
