term,cur,prev,diff,ma7,z_like,total
현대모비스,5,2,3,1.0,2.0,36
ar,5,0,5,1.286,1.741,33
벤큐,3,0,3,0.571,1.383,9
올레드,3,0,3,0.571,1.383,38
asus,3,0,3,0.857,1.113,13
메타,2,0,2,0.429,0.95,22
사이니지,11,0,11,1.571,4.184,12
세미파이브,8,0,8,1.143,3.314,12
백플레인,5,0,5,0.714,2.323,5
맥북,4,0,4,0.857,1.632,14
asus,4,0,4,1.286,1.272,17
그램,2,0,2,0.286,1.117,31
고효율,5,0,5,0.714,2.323,9
byd,2,0,2,0.286,1.117,6
아마존,2,0,2,0.429,0.95,9
벤츠,12,0,12,1.857,4.293,28
고성능,10,0,10,1.571,3.74,31
kaist,6,0,6,0.857,2.67,31
설비투자,2,0,2,0.286,1.117,4
vr,3,0,3,1.0,1.0,19
