term,cur,prev,diff,ma7,z_like,total,date
삼성디스플레이,11,1,10,3.714,2.489,44,2026-08-22
모니터,6,0,6,2.571,1.317,96,2026-08-22
lg전자,14,7,7,8.857,1.293,280,2026-08-22
비전프로,2,0,2,0.286,1.117,2,2026-08-22
애플,13,7,6,8.857,1.042,295,2026-08-22
맥북,2,1,1,0.429,0.95,16,2026-08-22
벤츠,5,0,5,2.571,0.933,24,2026-08-22
xr,5,3,2,2.571,0.933,68,2026-08-22
kaist,2,0,2,0.571,0.814,21,2026-08-22
구글,5,5,0,2.857,0.797,94,2026-08-22
카카오,3,0,3,1.429,0.716,26,2026-08-22
디스플레이,10,6,4,7.571,0.647,176,2026-08-22
csot,1,0,1,0.143,0.622,2,2026-08-22
아이패드,1,0,1,0.143,0.622,7,2026-08-22
태블릿,1,0,1,0.143,0.622,11,2026-08-22
공급망,2,0,2,0.857,0.593,52,2026-08-22
퀄컴,2,1,1,1.0,0.5,32,2026-08-22
아이폰,3,1,2,1.857,0.484,77,2026-08-22
올레드,1,0,1,0.286,0.465,12,2026-08-22
화웨이,1,1,0,0.286,0.465,14,2026-08-22
bmw,1,0,1,0.429,0.345,14,2026-08-22
tsmc,1,0,1,0.429,0.345,20,2026-08-22
소니,1,1,0,0.429,0.345,12,2026-08-22
샤오미,1,1,0,0.571,0.244,15,2026-08-22
인텔,1,1,0,0.571,0.244,34,2026-08-22
hp,1,2,-1,0.571,0.244,41,2026-08-22
삼성전자,18,13,5,17.714,0.055,366,2026-08-22
갤럭시,3,9,-6,3.0,0.0,213,2026-08-22
노트북,2,3,-1,2.143,-0.058,85,2026-08-22
tcl,2,1,1,2.857,-0.319,22,2026-08-22
스마트폰,2,7,-5,3.143,-0.412,97,2026-08-22
폴더블,6,5,1,7.714,-0.454,216,2026-08-22
lg디스플레이,1,4,-3,2.286,-0.512,124,2026-08-22
sk하이닉스,1,5,-4,2.286,-0.512,91,2026-08-22
엔비디아,4,3,1,6.143,-0.616,111,2026-08-22
lcd,1,1,0,2.714,-0.648,36,2026-08-22
tv,4,9,-5,10.0,-1.442,196,2026-08-22
oled,6,12,-6,16.286,-2.043,319,2026-08-22
비전프로,3,2,1,0.714,1.239,5,2026-08-23
byd,2,0,2,0.286,1.117,11,2026-08-23
아마존,2,0,2,0.286,1.117,32,2026-08-23
tsmc,2,1,1,0.714,0.697,22,2026-08-23
생산능력,1,0,1,0.143,0.622,4,2026-08-23
노트북,4,2,2,2.429,0.614,88,2026-08-23
hp,2,1,1,0.857,0.593,42,2026-08-23
샤오미,2,1,1,0.857,0.593,17,2026-08-23
galaxy,1,0,1,0.286,0.465,4,2026-08-23
생산량,1,0,1,0.286,0.465,3,2026-08-23
스마트워치,1,0,1,0.286,0.465,9,2026-08-23
에어팟,1,0,1,0.286,0.465,6,2026-08-23
기아,1,0,1,0.429,0.345,24,2026-08-23
모바일,1,0,1,0.429,0.345,20,2026-08-23
애플,10,13,-3,8.857,0.287,293,2026-08-23
아이폰,3,3,0,2.286,0.284,80,2026-08-23
맥북,1,2,-1,0.571,0.244,14,2026-08-23
모니터,3,6,-3,2.429,0.223,94,2026-08-23
메타,1,0,1,0.714,0.155,29,2026-08-23
선익시스템,1,0,1,0.714,0.155,37,2026-08-23
퀄컴,1,2,-1,0.857,0.074,32,2026-08-23
양산,1,0,1,1.0,0.0,69,2026-08-23
lg전자,9,14,-5,9.571,-0.14,280,2026-08-23
갤럭시,3,3,0,3.429,-0.15,184,2026-08-23
한미반도체,1,0,1,1.429,-0.195,12,2026-08-23
벤츠,2,5,-3,2.714,-0.27,26,2026-08-23
